,Unnamed: 0,id,Education,FamSES,Income,Age,Gender,Ethnicity,Kids_1,KidsHome_1,Fav,FavPpl,FavActivity,UStotal,UTtotal,UTrural,UTurban,UTdist,SBtotal,Orient,Route,SA,BFExtraverted,BFAgreeableness,BFConscient,BFEmoStabil,BFOpennness,SOIbehavior,SOIattitude,SOIdesire,SOItotal,ATOTpleasure,ATOTnopleasure,Q1,Q3,Q4,Q5,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q25,Q27,Q29,Q32,Q39,Q40,Q42,Q45,Q47,Q49,Q50,Q51,Q52,Q54,Q56,Q57,Q58,Q59,Q60,Q61,Q62,Q65,Q66,Q67,Q68,Q69,Q72,Q73,Map,WithinRtPt,BetweenRtPt,WithinRtPtAllo,BetweenRtPtAllo,WithinDist,BetweenDist,date,MRT,PSAS
10,11,Utah_113,3,5,5,19,Female,African-American,0,0,the mall,friends,shop,6,,,,,3.6666666666666696,2.54545454545455,4.83333333333333,4.0,4.0,4.0,4.5,2.5,3.5,1.6666666666666698,2.0,4.66666666666667,2.77777777777778,4.6,5.2,1,3,4,1,2,2,1,5,1,5,2,5,2,5,2,5,4,5,5,1,1,4,3,4,2,2,5,1,2,2,4,1,4,3,4,4,4,4,2,4,3,2,3,484.054461991422,42.14787239146087,58.825946773486656,68.4991689172976,76.6372323622351,55.0065725409015,138.802387233101,2017-07-12 14:05:01 -0700,2.0,3.1875
11,12,Utah_114,3,4,1,18,Female,Latino or Hispanic,0,0,Mall,Friends,"Shop, eat, see a movie",5,,,,,3.0,2.0,3.1666666666666696,1.5,1.5,3.5,5.5,5.5,4.0,1.0,1.33333333333333,1.33333333333333,1.22222222222222,4.6,2.6,3,4,3,1,1,1,3,3,1,2,4,4,4,4,3,4,5,2,2,1,2,2,3,5,4,4,4,1,4,4,2,1,3,2,5,1,1,2,4,4,5,5,5,519.936694906998,25.719403282603377,44.75535305616177,63.7369254225564,72.3229440874577,87.87484701344141,78.5567965405264,2017-07-17 10:44:55 -0700,42.0,3.6875
12,13,Utah_115,3,4,4,21,Female,Caucasian,0,0,Washington,Seattle,Wander the city,12,,,,,3.93333333333333,3.2727272727272703,3.1666666666666696,2.875,3.0,4.0,5.5,4.0,5.5,1.6666666666666698,5.33333333333333,2.3333333333333304,3.11111111111111,4.4,2.0,4,4,5,2,1,2,3,3,1,4,4,4,4,3,5,2,4,3,5,2,4,4,4,4,3,4,2,2,4,2,4,2,2,4,4,4,2,2,2,2,2,2,2,452.026943807178,45.59537715623538,66.81573664722086,68.65323693389729,93.7585245413085,133.49693421739,321.185775241326,2017-07-17 12:03:01 -0700,-8.0,5.0
13,14,Utah_116,4,3,4,23,Female,Latino or Hispanic,0,0,My home or outdoors,Myself or partner,Relax explore,4,,,,,4.4,4.81818181818182,5.0,3.0,5.0,6.0,3.0,2.5,4.5,2.0,8.0,3.6666666666666696,4.55555555555556,4.2,2.2,5,4,4,1,2,2,3,3,1,3,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,2,2,2,2,4,2,2,4,4,4,4,3,4,361.62800052848297,23.84925414406265,53.89979604344181,62.4470769916576,99.5121386604653,72.25523636771409,77.4981904913976,2017-07-17 15:10:46 -0700,48.0,4.3125
14,15,Utah_117,5,5,1,22,Male,Caucasian,0,0,California and Utah,Family ,Tennis,23,,,,,3.6666666666666696,2.6363636363636402,3.6666666666666696,1.125,7.0,7.0,7.0,7.0,7.0,2.3333333333333304,7.66666666666667,8.66666666666667,6.22222222222222,3.6,2.0,3,1,3,1,1,1,3,1,1,3,4,3,4,4,4,2,4,1,1,4,1,4,5,3,2,3,2,1,2,1,4,1,1,1,4,1,1,1,1,4,4,1,1,196.656510631829,43.70519024652951,66.22152873941957,67.1126193940016,81.3355327154753,104.13989479933001,200.45261719797,2017-07-18 09:10:29 -0700,36.0,6.4375
15,16,Utah_118,2,2,1,24,Male,Asian/Pacific-Islanders,0,0,California,Friends,traveling,8,,,,,1.8,1.09090909090909,1.16666666666667,1.75,3.0,4.0,4.0,6.0,4.5,1.0,0.33333333333333304,2.3333333333333304,1.22222222222222,2.2,2.0,3,3,2,1,2,2,3,1,1,5,3,3,2,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,4,3,4,3,3,3,3,3,3,3,2,2,3,2,3,346.006917193238,66.55537343654935,70.78714928141034,79.7676262896697,81.87911162452,126.20775122885401,191.505773416267,2017-07-19 10:01:33 -0700,4.0,2.9375
16,17,Utah_119,3,2,8,28,Female,Caucasian,1,1,Nature,family and friends,relax,7,,,,,1.6,1.0,3.3333333333333304,3.0,6.0,4.0,4.5,3.5,6.5,1.33333333333333,2.6666666666666696,2.0,2.0,3.0,3.4,4,3,4,2,3,3,3,3,1,5,5,3,3,3,2,3,3,3,2,3,3,4,3,4,1,2,1,3,1,1,4,1,2,4,5,4,4,4,3,3,4,1,5,220.58031585789902,87.81135169448498,74.1723754482772,73.59399512318551,83.40819114955879,188.667783821126,243.72826011891001,2017-07-19 10:24:39 -0700,4.0,4.0625
17,18,Utah_120,4,5,8,20,Male,Latino or Hispanic,0,0,Northern Michigan,Family,water sports and lounge,15,,,,,4.4,3.6363636363636402,2.3333333333333304,1.5,4.0,5.5,4.5,6.5,6.5,2.0,6.33333333333333,3.3333333333333304,3.88888888888889,4.6,2.2,4,5,3,1,1,2,3,2,1,4,5,2,4,4,1,4,2,2,2,3,2,3,4,4,3,5,3,3,4,4,4,1,1,1,4,1,1,1,1,2,1,1,1,459.735916048069,43.444555000069734,46.752339035619734,60.42461867246679,75.80995036751709,112.407033900467,63.4424620556481,2017-07-25 09:22:51 -0700,34.0,4.375
18,19,Utah_121,4,5,5,23,Female,Caucasian,0,0,New York,Boyfriend,Visiting his family and seeing the sights,13,,,,,2.2666666666666697,1.6363636363636398,5.0,3.625,2.0,5.5,6.0,6.5,3.5,2.3333333333333304,6.66666666666667,2.0,3.6666666666666696,1.6,4.6,3,2,3,1,1,1,3,3,1,5,4,5,5,5,3,2,5,4,4,1,3,1,1,3,1,1,1,1,1,1,5,1,1,4,5,5,2,1,1,4,2,1,1,414.85135419371903,32.00099123979595,53.48508100667686,81.590034392699,67.3043259231883,69.83514389381699,150.46422912773,2017-07-29 10:10:35 -0700,24.0,3.0
19,20,Utah_122,3,4,1,18,Male,Caucasian,0,2,At my home in my room,Various friends,"Hang out, play various different video games",9,,,,,3.7333333333333303,3.3636363636363598,3.5,2.625,1.5,4.5,5.0,3.5,3.5,1.0,4.33333333333333,3.0,2.77777777777778,5.2,3.2,5,3,2,1,1,2,3,2,1,4,3,4,3,2,4,5,4,3,4,1,2,3,3,3,2,2,4,4,2,2,4,1,2,3,4,1,4,4,2,4,1,1,1,237.647434562178,37.62674928927422,70.59364437280323,67.1216286360151,86.5131834223452,112.140693631665,137.333724824331,2017-09-01 10:42:03 -0700,24.0,5.4375
