"","X","id","Education","FamSES","Income","Age","Gender","Ethnicity","Kids_1","KidsHome_1","Fav","FavPpl","FavActivity","UStotal","UTtotal","UTrural","UTurban","UTdist","SBtotal","Orient","Route","SA","BFExtraverted","BFAgreeableness","BFConscient","BFEmoStabil","BFOpennness","SOIbehavior","SOIattitude","SOIdesire","SOItotal","ATOTpleasure","ATOTnopleasure","Q1","Q3","Q4","Q5","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q18","Q19","Q20","Q25","Q27","Q29","Q32","Q39","Q40","Q42","Q45","Q47","Q49","Q50","Q51","Q52","Q54","Q56","Q57","Q58","Q59","Q60","Q61","Q62","Q65","Q66","Q67","Q68","Q69","Q72","Q73","Map","WithinRtPt","BetweenRtPt","WithinRtPtAllo","BetweenRtPtAllo","WithinDist","BetweenDist","date","MRT","PSAS","SOTmean","SOTsd","Pointing","Distance","GPSuse"
"11",11,"Utah_113",3,5,5,19,"Female","African-American",0,0,"the mall","friends","shop",6,NA,NA,NA,NA,3.66666666666667,2.54545454545455,4.83333333333333,4,4,4,4.5,2.5,3.5,1.66666666666667,2,4.66666666666667,2.77777777777778,4.6,5.2,1,3,4,1,2,2,1,5,1,5,2,5,2,5,2,5,4,5,5,1,1,4,3,4,2,2,5,1,2,2,4,1,4,3,4,4,4,4,2,4,3,2,3,484.054461991422,29.9493142481667,46.1723423751562,68.4991689172976,76.6372323622351,55.0065725409015,138.802387233101,"2017-07-12 14:05:01 -0700",2,3.1875,56.75,37.6421548025856,38.0608283116615,96.9044798870013,5
"12",12,"Utah_114",3,4,1,18,"Female","Latino or Hispanic",0,0,"Mall","Friends","Shop, eat, see a movie",5,NA,NA,NA,NA,3,2,3.16666666666667,1.5,1.5,3.5,5.5,5.5,4,1,1.33333333333333,1.33333333333333,1.22222222222222,4.6,2.6,3,4,3,1,1,1,3,3,1,2,4,4,4,4,3,4,5,2,2,1,2,2,3,5,4,4,4,1,4,4,2,1,3,2,5,1,1,2,4,4,5,5,5,519.936694906998,18.5944951367917,35.1461724259063,63.7369254225564,72.3229440874577,87.8748470134414,78.5567965405264,"2017-07-17 10:44:55 -0700",42,3.6875,23.75,32.8055566246718,26.870333781349,83.2158217769839,2
"13",13,"Utah_115",3,4,4,21,"Female","Caucasian",0,0,"Washington","Seattle","Wander the city",12,NA,NA,NA,NA,3.93333333333333,3.27272727272727,3.16666666666667,2.875,3,4,5.5,4,5.5,1.66666666666667,5.33333333333333,2.33333333333333,3.11111111111111,4.4,2,4,4,5,2,1,2,3,3,1,4,4,4,4,3,5,2,4,3,5,2,4,4,4,4,3,4,2,2,4,2,4,2,2,4,4,4,2,2,2,2,2,2,2,452.026943807178,32.332116488,52.4333987865937,68.6532369338973,93.7585245413085,133.49693421739,321.185775241326,"2017-07-17 12:03:01 -0700",-8,5,51.0833333333333,42.6283267607848,42.3827576372968,227.341354729358,4
"14",14,"Utah_116",4,3,4,23,"Female","Latino or Hispanic",0,0,"My home or outdoors","Myself or partner","Relax explore",4,NA,NA,NA,NA,4.4,4.81818181818182,5,3,5,6,3,2.5,4.5,2,8,3.66666666666667,4.55555555555556,4.2,2.2,5,4,4,1,2,2,3,3,1,3,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,2,2,2,2,4,2,2,4,4,4,4,3,4,361.628000528483,17.3019093797917,42.3120521673438,62.4470769916576,99.5121386604653,72.2552363677141,77.4981904913976,"2017-07-17 15:10:46 -0700",48,4.3125,16.9166666666667,13.8002525229421,29.8069807735678,74.8767134295558,3
"15",15,"Utah_117",5,5,1,22,"Male","Caucasian",0,0,"California and Utah","Family ","Tennis",23,NA,NA,NA,NA,3.66666666666667,2.63636363636364,3.66666666666667,1.125,7,7,7,7,7,2.33333333333333,7.66666666666667,8.66666666666667,6.22222222222222,3.6,2,3,1,3,1,1,1,3,1,1,3,4,3,4,4,4,2,4,1,1,4,1,4,5,3,2,3,2,1,2,1,4,1,1,1,4,1,1,1,1,4,4,1,1,196.656510631829,31.0256812806667,51.9677583517812,67.1126193940016,81.3355327154753,104.13989479933,200.45261719797,"2017-07-18 09:10:29 -0700",36,6.4375,48.5833333333333,49.7967840022797,41.496719816224,152.29625599865,3
"16",16,"Utah_118",2,2,1,24,"Male","Asian/Pacific-Islanders",0,0,"California","Friends","traveling",8,NA,NA,NA,NA,1.8,1.09090909090909,1.16666666666667,1.75,3,4,4,6,4.5,1,0.333333333333333,2.33333333333333,1.22222222222222,2.2,2,3,3,2,1,2,2,3,1,1,5,3,3,2,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,4,3,4,3,3,3,3,3,3,3,2,2,3,2,3,346.006917193238,46.8189785785,55.5455255044062,79.7676262896697,81.87911162452,126.207751228854,191.505773416267,"2017-07-19 10:01:33 -0700",4,2.9375,87.8333333333333,64.4865501598213,51.1822520414531,158.85676232256,5
"17",17,"Utah_119",3,2,8,28,"Female","Caucasian",1,1,"Nature","family and friends","relax",7,NA,NA,NA,NA,1.6,1,3.33333333333333,3,6,4,4.5,3.5,6.5,1.33333333333333,2.66666666666667,2,2,3,3.4,4,3,4,2,3,3,3,3,1,5,5,3,3,3,2,3,3,3,2,3,3,4,3,4,1,2,1,3,1,1,4,1,2,4,5,4,4,4,3,3,4,1,5,220.580315857899,61.5104137058333,58.19829764625,73.5939951231855,83.4081911495588,188.667783821126,243.72826011891,"2017-07-19 10:24:39 -0700",4,4.0625,29.3333333333333,30.7758267988289,59.8543556760416,216.198021970018,5
"18",18,"Utah_120",4,5,8,20,"Male","Latino or Hispanic",0,0,"Northern Michigan","Family","water sports and lounge",15,NA,NA,NA,NA,4.4,3.63636363636364,2.33333333333333,1.5,4,5.5,4.5,6.5,6.5,2,6.33333333333333,3.33333333333333,3.88888888888889,4.6,2.2,4,5,3,1,1,2,3,2,1,4,5,2,4,4,1,4,2,2,2,3,2,3,4,4,3,5,3,3,4,4,4,1,1,1,4,1,1,1,1,2,1,1,1,459.735916048069,30.8455387452917,36.7110748911563,60.4246186724668,75.8099503675171,112.407033900467,63.4424620556481,"2017-07-25 09:22:51 -0700",34,4.375,9.16666666666667,8.09975682388432,33.778306818224,87.9247479780576,4
"19",19,"Utah_121",4,5,5,23,"Female","Caucasian",0,0,"New York","Boyfriend","Visiting his family and seeing the sights",13,NA,NA,NA,NA,2.26666666666667,1.63636363636364,5,3.625,2,5.5,6,6.5,3.5,2.33333333333333,6.66666666666667,2,3.66666666666667,1.6,4.6,3,2,3,1,1,1,3,3,1,5,4,5,5,5,3,2,5,4,4,1,3,1,1,3,1,1,1,1,1,1,5,1,1,4,5,5,2,1,1,4,2,1,1,414.851354193719,22.9361227415,41.9870681213437,81.590034392699,67.3043259231883,69.835143893817,150.46422912773,"2017-07-29 10:10:35 -0700",24,3,63.75,29.2827128648845,32.4615954314218,110.149686510774,5
"20",20,"Utah_122",3,4,1,18,"Male","Caucasian",0,2,"At my home in my room","Various friends","Hang out, play various different video games",9,NA,NA,NA,NA,3.73333333333333,3.36363636363636,3.5,2.625,1.5,4.5,5,3.5,3.5,1,4.33333333333333,3,2.77777777777778,5.2,3.2,5,3,2,1,1,2,3,2,1,4,3,4,3,2,4,5,4,3,4,1,2,3,3,3,2,2,4,4,2,2,4,1,2,3,4,1,4,4,2,4,1,1,1,237.647434562178,26.8244622205417,55.393888832125,67.1216286360151,86.5131834223452,112.140693631665,137.333724824331,"2017-09-01 10:42:03 -0700",24,5.4375,37.3333333333333,49.7271342305977,41.1091755263334,124.737209227998,4
"21",21,"Utah_123",3,3,1,20,"Male","Caucasian",0,2,"Oregon","My girlfriend.","Explore, see friends and family, and go to the beach.",34,NA,NA,NA,NA,6.2,4.36363636363636,3.66666666666667,1.25,5,6.5,5,6,6,1.33333333333333,8.66666666666667,3.66666666666667,4.55555555555556,6,1.4,1,6,3,1,1,2,3,2,1,3,5,4,5,2,5,2,2,1,2,4,5,5,5,5,5,5,5,5,5,5,1,1,1,4,5,4,4,4,2,2,3,3,1,276.339744856091,16.6285968293333,38.4058620389687,63.8447514623708,64.8105015973034,89.1024554341139,108.776221734706,"2017-09-01 11:41:29 -0700",36,6.25,11.9166666666667,8.58601752675226,27.517229434151,98.93933858441,3
"22",22,"Utah_124",2,6,1,18,"Female","Caucasian",0,0,"the mountains","family","relax, art, sleep, explore, hike",24,NA,NA,NA,NA,4.2,3.54545454545455,4.83333333333333,3,1.5,4.5,6,3,6,1,1,3,1.66666666666667,4.4,4.8,5,3,2,1,1,2,1,3,1,5,5,4,5,2,4,4,4,4,4,1,2,3,3,4,3,5,4,4,2,4,4,1,1,4,4,2,3,1,1,4,4,2,2,80.1067898650608,19.1824832009583,21.3790946602813,58.7143330970074,53.8624016985623,51.9141066413301,81.0791759728733,"2017-09-01 11:54:47 -0700",50,4.25,12.4166666666667,10.7994809078394,20.2807889306198,66.4966413071017,5
"23",23,"Utah_125",3,6,1,20,"Female","Caucasian",0,0,"My cabin","Family, friends, self.","Hike, climb, bike, fish, explore",15,NA,NA,NA,NA,4.4,3.45454545454545,3,1.75,2.5,4.5,4,5,7,2.33333333333333,5,2.66666666666667,3.33333333333333,4.2,2.6,4,2,3,2,2,2,5,3,1,2,5,3,5,2,5,3,1,1,2,4,5,5,4,4,3,4,4,4,4,4,4,1,5,5,5,4,2,2,1,2,2,1,2,144.506062367614,28.7502606958333,28.6980381390625,55.1041580630018,70.0223165473788,77.2701416743347,89.2306051554879,"2017-09-01 12:34:49 -0700",22,3.75,50.0833333333333,40.5764336739562,28.7241494174479,83.2503734149113,2
"24",24,"Utah_126",3,3,1,16,"Female","Caucasian",0,2,"coffee shop","friends","relax and talk",12,NA,NA,NA,NA,4.8,3,2.33333333333333,3,1,2,7,5.5,4,1.33333333333333,4.33333333333333,1.33333333333333,2.33333333333333,4.8,1.6,6,5,3,1,2,2,3,2,1,3,5,2,4,2,5,4,5,1,1,1,1,3,1,5,5,4,4,4,2,4,3,1,2,2,3,2,1,1,5,1,5,1,1,171.041167554408,16.45180294375,31.44421447825,65.3633785032544,87.9297999356061,91.8750476576973,161.043344110566,"2017-09-01 13:40:16 -0700",60,5.5625,40.8333333333333,55.602212731204,23.948008711,126.459195884132,3
"25",25,"Utah_127",2,4,1,18,"Female","Caucasian",0,0,"Hawaii","Family","Relax",8,NA,NA,NA,NA,3.13333333333333,3.63636363636364,4.16666666666667,3.875,2.5,4.5,6,4.5,6,1,3.33333333333333,3,2.44444444444444,3.8,4.2,2,2,2,1,1,2,5,3,1,5,5,5,5,3,5,2,5,4,4,1,2,4,4,2,1,4,4,2,3,1,4,1,2,2,4,2,4,4,2,3,4,1,2,423.784801219438,27.1670491309167,55.0073988574375,44.5503349894869,93.1107154040539,85.2572203896381,141.35300661665,"2017-09-08 10:55:22 -0700",8,3.375,79.0833333333333,41.0840786090124,41.0872239941771,113.305113503144,5
"26",26,"Utah_128",3,2,3,25,"Male","Other",1,1,"California","Friends","Beach",30,NA,NA,NA,NA,4,3.27272727272727,3.83333333333333,2.5,6,5.5,3.5,5.5,4.5,3.33333333333333,6.66666666666667,2.66666666666667,4.22222222222222,3.8,2.2,3,4,5,2,2,2,3,3,1,4,4,4,4,5,4,3,4,2,4,4,2,4,4,4,4,4,4,3,4,2,4,1,2,3,5,3,4,4,2,4,2,2,1,362.923938864448,13.167931556125,41.3345231399688,69.7678979473509,77.131082666046,47.0314247057842,61.7717243734646,"2017-09-08 11:23:22 -0700",70,4.9375,19,10.8124507355683,27.2512273480469,54.4015745396244,4
"27",27,"Utah_129",2,4,1,18,"Female","Asian/Pacific-Islanders",0,0,"Home","Usually my parents and brother","I read or watch dramas",6,NA,NA,NA,NA,4.33333333333333,2.63636363636364,4.33333333333333,2.25,2.5,6,6.5,4.5,4.5,1,1.66666666666667,1.33333333333333,1.33333333333333,4.2,3,2,5,8,1,2,2,3,3,1,3,5,3,5,2,4,3,2,2,5,1,2,4,4,4,3,4,4,4,4,4,4,1,2,4,4,4,2,2,2,4,4,1,1,427.881141478314,30.6290666046667,54.2612911858125,91.6130069795674,86.8332601594101,121.085489578537,146.891623425832,"2017-09-08 12:16:39 -0700",48,4.4375,29.25,20.0822173712331,42.4451788952396,133.988556502185,3
"28",28,"Utah_130",3,6,1,19,"Female","Caucasian",0,0,"New York City","My family","Eat delicious food!",12,NA,NA,NA,NA,3.26666666666667,2.36363636363636,3.66666666666667,3.625,2,3.5,6.5,3,3.5,1.33333333333333,5.66666666666667,5.66666666666667,4.22222222222222,3.6,2.4,5,5,3,2,2,2,3,3,1,3,4,5,3,4,4,3,2,4,5,2,5,2,2,3,3,2,4,2,2,4,3,1,1,4,5,4,4,2,3,2,1,1,1,216.379154561827,30.969588312,56.3104278416875,81.2852786847568,87.0529637789492,61.0659311402814,202.838583681939,"2017-09-08 12:35:19 -0700",8,3.875,66.3333333333333,54.2826497198328,43.6400080768437,131.95225741111,3
"29",29,"Utah_131",4,5,1,27,"Female","Asian/Pacific-Islanders",0,0,"outside","friends","walking",10,NA,NA,NA,NA,3.86666666666667,2.63636363636364,3.33333333333333,3.875,2.5,4,3,4,4,1,1.66666666666667,1,1.22222222222222,3.2,3.8,3,1,1,2,1,2,5,4,1,5,4,4,4,4,4,4,4,4,2,2,4,4,4,3,4,2,4,2,2,3,2,2,2,4,4,4,4,4,3,4,2,2,2,202.516303619863,43.119534865875,64.025464314375,79.1062340410951,86.4814053786633,159.117411543091,196.764541208034,"2017-09-08 13:27:42 -0700",-16,3.875,87.6666666666667,28.17262802255,53.572499590125,177.940976375563,5
