"","X","id","Education","FamSES","Income","Age","Gender","Ethnicity","Kids_1","KidsHome_1","Fav","FavPpl","FavActivity","UStotal","UTtotal","UTrural","UTurban","UTdist","SBtotal","Orient","Route","SA","BFExtraverted","BFAgreeableness","BFConscient","BFEmoStabil","BFOpennness","SOIbehavior","SOIattitude","SOIdesire","SOItotal","ATOTpleasure","ATOTnopleasure","Q1","Q3","Q4","Q5","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q18","Q19","Q20","Q25","Q27","Q29","Q32","Q39","Q40","Q42","Q45","Q47","Q49","Q50","Q51","Q52","Q54","Q56","Q57","Q58","Q59","Q60","Q61","Q62","Q65","Q66","Q67","Q68","Q69","Q72","Q73","Map","WithinRtPt","BetweenRtPt","WithinRtPtAllo","BetweenRtPtAllo","WithinDist","BetweenDist","date","MRT","PSAS","SOTmean","SOTsd","Pointing","Distance","GPSuse"
"30",30,"Utah_132",3,5,2,21,"Female","Caucasian",0,0,"Downtown Salt Lake City","Close friends","Talk, grab dinner, and/or watch a movie",9,NA,NA,NA,NA,4.8,3.18181818181818,3,1.25,5.5,5,2,1,6.5,1,6.33333333333333,1.66666666666667,3,5,2,3,5,3,2,1,2,1,5,1,3,5,2,5,1,2,1,1,1,4,1,1,2,2,5,4,4,5,5,5,4,3,2,1,2,4,5,2,1,1,1,5,1,1,232.282330900812,17.335718851,33.224452881125,66.6301956793534,65.9308267459124,177.890364119023,216.247816096458,"2017-09-08 13:33:50 -0700",38,4.625,7.25,4.28793232646734,25.2800858660625,197.06909010774,3
"31",31,"Utah_133",3,2,2,18,"Male","Latino or Hispanic",0,1,"Home","Family","watch tv and talk",7,NA,NA,NA,NA,4.53333333333333,2.36363636363636,4.16666666666667,1.625,6,4,5.5,6,6.5,0,1.33333333333333,2.33333333333333,1.22222222222222,4.8,2,3,2,3,1,2,1,1,5,1,3,5,2,5,3,5,3,4,2,2,2,4,5,4,4,4,1,2,3,4,5,1,1,1,4,5,3,2,3,2,1,3,1,2,123.730630798513,20.1226092897917,23.1946240630625,47.8171800267076,107.028306041771,86.536778410397,86.8987353126884,"2017-09-08 14:13:02 -0700",74,2.8125,22.9166666666667,30.4196656885979,21.6586166764271,86.7177568615427,3
"32",32,"Utah_134",3,2,1,20,"Female","Caucasian",0,0,"Montana","Family","Hike, Concerts, Eat out",10,NA,NA,NA,NA,3.13333333333333,2.81818181818182,3.5,1.875,4,7,2,5,5,1,5.33333333333333,4.66666666666667,3.66666666666667,4.4,3.6,3,4,3,2,2,3,3,3,1,2,4,4,4,3,5,4,4,2,4,1,4,3,4,2,4,4,2,2,4,1,2,1,3,2,4,1,1,3,1,3,1,1,1,243.576768626505,12.0346756534583,43.8957197195937,62.0644999051643,79.9949082397096,103.77564082226,74.8819069917592,"2017-09-08 14:27:11 -0700",32,3.0625,9,5.55959449142569,27.965197686526,89.3287739070096,2
"33",33,"Utah_135",3,6,1,20,"Male","Caucasian",0,0,"California","Family, friends","Go to the beach",9,NA,NA,NA,NA,5.33333333333333,3.54545454545455,2.83333333333333,2.5,5,4,4.5,6,4.5,8.33333333333333,9,5.66666666666667,7.66666666666667,4.8,2.4,5,5,3,2,1,1,3,2,1,3,5,3,5,3,3,4,3,2,4,5,4,5,5,4,4,4,5,4,5,4,2,1,1,2,4,1,2,2,1,3,1,1,1,378.56091540137,29.7610369515,50.3158749349687,84.4770446217881,92.6874038244367,100.110344581749,66.970625983412,"2017-09-11 12:34:37 -0700",22,4.8125,22.4166666666667,19.3928681048816,40.0384559432343,83.5404852825805,3
"34",34,"Utah_136",3,5,1,19,"Female","Caucasian",0,0,"Colorado","Family/ Significant other","Explore",15,NA,NA,NA,NA,2.4,2.45454545454545,4.66666666666667,3.75,4,3,6,6,6,5,9,1.33333333333333,5.11111111111111,4.6,3.4,6,8,8,2,1,2,3,2,1,5,5,3,4,4,1,1,4,2,4,4,3,3,3,5,2,1,4,2,4,2,2,1,1,4,5,4,1,1,4,4,1,1,1,282.291178658079,18.7814258821667,52.5746844763437,75.5828417239408,93.8133692392522,137.762609804307,118.709971199019,"2017-09-15 09:34:41 -0700",42,2.1875,25.9166666666667,25.8684023941225,35.6780551792552,128.236290501663,5
"35",35,"Utah_137",2,5,2,21,"Female","Asian/Pacific-Islanders",0,0,"The Museum of Fine Arts, Cafe","Alone but occasionally with one friend","Study, and chill.",3,NA,NA,NA,NA,5.46666666666667,3.81818181818182,4.66666666666667,2.125,4.5,5.5,5,4.5,5.5,1,4,3.33333333333333,2.77777777777778,4.6,1.8,2,6,4,2,1,2,1,4,1,4,5,3,5,4,5,3,3,1,1,1,4,5,5,5,4,4,4,4,4,2,1,1,4,5,4,1,1,3,1,2,5,2,2,126.899333776118,7.30991574733333,18.656484655,63.1438418507476,59.9774994043848,92.2126531777503,73.9166448562661,"2017-09-15 10:13:07 -0700",20,4.125,54.6666666666667,35.9957909997401,12.9832002011667,83.0646490170082,4
"36",36,"Utah_138",3,3,5,18,"Male","Caucasian",0,2,"Mexico","My family","Relax, beach, food.",9,NA,NA,NA,NA,4.26666666666667,3.27272727272727,3.16666666666667,2.375,6.5,7,4,6,6,1.33333333333333,1,1,1.11111111111111,4,3.2,3,4,2,1,1,1,3,2,1,2,4,3,3,4,4,5,4,2,4,2,5,4,4,5,4,5,5,4,4,4,1,1,4,2,3,1,1,1,3,4,4,1,4,159.079489649269,28.25756214975,70.0615159791875,51.0980015062282,76.5797286402151,80.5408895141274,59.9833946894195,"2017-09-15 10:50:21 -0700",62,2.75,27,32.7191909213149,49.1595390644688,70.2621421017734,2
"37",37,"Utah_139",3,6,2,20,"Female","Caucasian",0,0,"Hawaii","Family","Relax",40,NA,NA,NA,NA,3.86666666666667,1.72727272727273,4,3.125,5,5.5,7,5.5,5.5,5.33333333333333,2.33333333333333,1.33333333333333,3,2.8,3,3,3,4,1,1,1,3,3,1,3,3,3,2,2,2,4,5,2,5,4,3,2,3,4,3,1,4,4,4,2,2,1,3,2,3,4,2,2,1,2,2,2,1,280.437587605231,13.083079009125,49.8236447983125,66.7853395976149,94.6793310159993,104.220239423918,268.360867383824,"2017-09-15 13:07:56 -0700",48,3.5,21.4166666666667,17.8705361029282,31.4533619037188,186.290553403871,3
"38",38,"Utah_140",2,6,1,19,"Female","Caucasian",0,0,"Texas","My sister","My parents moved there a year ago so we visit them",6,NA,NA,NA,NA,3.46666666666667,2.18181818181818,3.33333333333333,2.25,3,5,6.5,5.5,6,1.33333333333333,5.66666666666667,1,2.66666666666667,4,2.4,3,4,3,2,1,1,3,3,1,3,4,4,4,4,1,3,4,3,4,1,5,4,4,4,2,3,3,3,3,3,3,1,2,3,5,2,2,2,1,3,2,2,1,416.205013134459,31.6127293004167,52.4198306877812,40.4134318469017,86.5418540862648,159.942381815603,193.163443576943,"2017-09-18 07:03:42 -0700",74,5.0625,8.25,4.45431353756211,42.016279994099,176.552912696273,3
"39",39,"Utah_141",2,3,1,18,"Male","Asian/Pacific-Islanders",0,0,"The Marriott Library at the University of Utah.","Mostly it's just me, but occasionally, once or twice a week, I go there with friends.","When I'm by myself, the library is my study haven. When with friends, it's probably to attend some event held by Crimson Gaming, or to get together for our weekly Dungeons and Dragons session.",8,NA,NA,NA,NA,3.53333333333333,3.18181818181818,5,4,4,5,5,2.5,5.5,1,3.33333333333333,4.66666666666667,3,4.6,4.4,2,3,2,1,1,2,1,5,1,4,4,3,4,3,4,5,4,4,2,1,1,3,4,2,2,1,5,4,1,1,3,2,2,3,5,3,1,2,2,5,5,4,5,288.673849255508,24.691183155,48.2811116898437,89.4483400938501,81.6783606570402,161.436605301886,219.568325144892,"2017-09-19 13:03:19 -0700",32,4.125,77.9166666666667,54.5384907170795,36.4861474224219,190.502465223389,4
"40",40,"Utah_142",3,6,1,18,"Female","Caucasian",0,0,"The Community Library ","Myself","Read, study, or just think",19,NA,NA,NA,NA,3.4,2.18181818181818,4.5,3,7,4.5,6,3,5,2.33333333333333,7,2.33333333333333,3.88888888888889,4.6,3,3,7,5,1,1,2,5,5,1,3,5,2,5,4,5,3,4,3,4,4,5,5,5,4,2,1,2,4,4,1,4,2,2,4,5,1,2,4,2,3,4,3,1,253.903797833256,18.851826649125,49.6647574427813,63.7685403202934,70.1582925521875,135.248077713282,118.604487640871,"2017-09-19 13:54:07 -0700",26,4.25,19.75,18.5576497336372,34.2582920459532,126.926282677077,3
"41",41,"Utah_143",2,5,1,18,"Male","Caucasian",0,0,"The San Juan Islands in northern Washington.","Family","Fish, hike, kayak, draw, take pictures, make videos, and feel happy",18,NA,NA,NA,NA,2.6,1.81818181818182,3.5,1.375,6.5,4.5,6,6,6.5,3,6,4,4.33333333333333,3.2,2,2,3,3,2,1,2,5,2,1,4,5,3,5,2,3,2,2,2,3,3,2,4,4,3,2,2,1,2,3,2,2,1,1,4,4,4,2,3,1,2,2,3,3,222.443702252035,26.4605924820417,61.892075294875,88.7080294803331,96.6196130203302,111.534646979666,182.846953838031,"2017-09-19 14:37:59 -0700",20,4.0625,19,17.0720398738565,44.1763338884584,147.190800408849,4
"42",42,"Utah_144",4,5,1,19,"Androgynous","Other",0,0,"Ireland","My family","Explore and relax",25,17,7,10,1389,4.06666666666667,2.09090909090909,4.83333333333333,4,6.5,4,4.5,3,6.5,1,4.33333333333333,2.33333333333333,2.55555555555556,3,3.6,2,1,5,1,1,1,3,2,1,4,5,4,5,5,5,2,2,2,3,2,4,5,5,2,4,4,2,4,5,2,2,1,2,4,5,1,4,4,1,2,2,1,1,231.627004526789,24.30976549525,27.6510164654375,57.901102758483,92.1361413311207,126.826920621375,97.6339312933045,"2017-09-20 14:42:01 -0700",52,4.1875,52.9166666666667,55.5083258838189,25.9803909803437,112.23042595734,4
"43",43,"Utah_145",4,5,3,31,"Male","Caucasian",0,0,"California","Family/friends","Vacation",31,23,11,9,2755,5.06666666666667,3.09090909090909,3.16666666666667,1.125,6,4.5,6,6.5,6.5,2,0.666666666666667,2.66666666666667,1.77777777777778,5.2,1.4,3,2,3,2,1,2,3,2,1,2,5,2,5,3,4,2,2,1,1,3,3,4,4,4,4,5,4,5,4,4,1,1,2,5,5,5,4,4,1,3,2,2,1,215.297925092767,18.5176198740833,49.2540921865625,51.1738933186374,102.905346718539,58.5336824202135,66.3698105228038,"2017-09-21 14:40:54 -0700",64,5.3125,7.83333333333333,5.14928650544437,33.8858560303229,62.4517464715087,2
"44",44,"Utah_146",3,3,6,34,"Female","Caucasian",1,1,"Camping in S. Eastern Utah","Family","Hike, go out to eat, shop, see a game/event",14,11,5,5,1381.7,5.73333333333333,3.72727272727273,3.16666666666667,1.5,5.5,4,6.5,5,4.5,4,6.33333333333333,4.66666666666667,5,5.2,1.8,5,2,5,2,1,2,3,1,1,4,5,4,5,3,4,3,5,1,5,4,4,2,2,5,5,4,5,4,5,1,1,1,1,4,5,4,2,2,5,2,5,4,3,137.682050792742,31.66042533875,41.1365402840312,70.9553433561013,56.1675478117481,99.6634384386357,135.190242601892,"2017-09-22 09:30:24 -0700",20,4.6875,18.3333333333333,24.8022481874429,36.3984828113906,117.426840520264,4
"45",45,"Utah_147",3,5,1,22,"Female","Caucasian",0,0,"Pittsburgh","Usually my parents and brother","Spend time with extended family and see the city.",25,19,6,12,1378.1,3.33333333333333,2.45454545454545,4.66666666666667,3,1,4.5,5.5,4,5.5,1,1,2,1.33333333333333,4.4,5,3,2,3,2,1,1,3,2,1,3,5,3,5,2,4,3,2,4,4,2,4,2,1,4,1,5,3,3,2,2,4,1,1,3,4,4,4,2,1,3,4,1,2,432.092340924752,29.5100688065833,35.0637904233438,62.6555289223675,92.8270577116792,108.226267188087,131.278092690561,"2017-09-22 10:23:16 -0700",36,3.5625,14.3333333333333,12.5069677549853,32.2869296149635,119.752179939324,3
"46",46,"Utah_148",4,5,1,22,"Male","Caucasian",0,0,"Hawaii","Family and Friends","Go to the beach and tours",17,12,5,5,1313.2,4.2,2.90909090909091,3.66666666666667,1,1.5,5,5.5,6,5.5,3,8.66666666666667,7.33333333333333,6.33333333333333,3,2.8,2,3,5,1,3,3,3,2,1,3,4,3,4,3,4,4,4,4,2,2,4,3,3,5,4,4,4,3,4,3,1,1,1,4,4,4,2,2,2,2,4,4,2,435.82955536103,37.3330322000417,47.052522500875,72.8209975576906,91.5646391590385,152.328359221719,413.840494934177,"2017-09-22 13:24:27 -0700",8,3.375,23.6666666666667,37.1099921200681,42.1927773504583,283.084427077948,3
"47",47,"Utah_149",3,6,1,19,"Female","Caucasian",0,0,"Hawaii","family","relax",10,7,3,2,1213.2,3.8,2.72727272727273,4.33333333333333,3.625,3,4,6,4,4,1,3.33333333333333,1,1.77777777777778,4.4,2.6,6,5,3,2,1,2,1,2,1,2,4,3,4,3,5,3,3,2,3,1,4,4,5,4,5,4,4,3,4,4,2,5,2,5,5,4,4,2,2,4,2,1,1,316.38704902967,45.7503477279583,65.5530717919062,82.1055400621748,58.8657350945326,111.116133061953,99.8690791782666,"2017-09-25 06:12:58 -0700",48,3.1875,37.6666666666667,25.8995729460522,55.6517097599323,105.49260612011,2
"48",48,"Utah_150",2,4,4,20,"Male","Latino or Hispanic",0,0,"at home ","family and friends ","have fun",22,17,9,6,1949.3,3.6,2.27272727272727,3,1.75,4,4.5,6,4,4,1,1,3,1.66666666666667,3.6,2,3,5,3,2,2,2,3,3,1,3,4,3,4,4,3,3,1,2,2,4,3,4,4,3,3,2,4,2,3,3,2,1,1,4,5,4,1,1,1,2,4,2,1,302.287017576423,35.5267759744167,53.122716823125,87.430717361215,72.226819210876,125.897001991048,262.461313426795,"2017-09-25 06:57:22 -0700",48,4,31.5833333333333,32.5784600711277,44.3247463987709,194.179157708922,3
"49",49,"Utah_151",3,4,1,20,"Male","Caucasian",0,3,"California","family","Relax and visit places",19,15,6,7,1400,3.06666666666667,1.45454545454545,2.66666666666667,3.5,4,5,4,4.5,5,1,3.66666666666667,3,2.55555555555556,3.2,2.6,4,5,4,2,2,2,3,3,1,2,4,3,4,3,4,3,3,4,4,2,4,3,3,4,3,3,3,4,4,3,3,1,1,3,4,4,4,2,3,2,2,1,2,439.779709889329,35.8092091185417,59.9442226033438,60.1938894085327,107.819279654427,102.594644700361,123.266611935617,"2017-09-25 07:41:43 -0700",64,2.75,11.1666666666667,13.9403491108843,47.8767158609428,112.930628317989,2
"50",50,"Utah_152",2,5,1,18,"Male","Caucasian",0,0,"Mountains","Myself","listen to music or hike",15,11,5,5,1615,2.8,2.90909090909091,3.66666666666667,3.875,5,3.5,2,3.5,5,1,5.66666666666667,5.66666666666667,4.11111111111111,3.6,4.2,5,4,3,1,2,3,3,1,1,2,3,4,4,4,4,3,2,4,5,4,1,2,3,2,2,4,2,2,4,3,4,1,2,4,5,4,3,1,2,4,4,1,2,375.838753970583,22.0480546125,47.786185773,82.3419494070049,70.9348326338682,91.1225465769484,112.690553288909,"2017-09-27 13:16:00 -0700",50,4.9375,11.4166666666667,8.96922347235087,34.91712019275,101.906549932929,2
"51",51,"Utah_153",3,5,2,20,"Male","Caucasian",0,0,"At a my families cabin in montana","family and close friends","hike, boat, bike, visit nature places",19,12,7,3,1901.9,4.6,4,3.16666666666667,1.375,2,4,5,7,6,2.66666666666667,7.33333333333333,2,4,4.8,2.8,5,5,3,1,2,2,3,2,1,3,4,3,4,3,4,4,3,2,3,4,2,3,4,5,3,5,4,4,4,4,1,1,1,3,4,2,3,2,2,3,2,2,1,217.194353393703,23.6036159001667,40.1856628074688,49.688354677113,84.2055843183854,114.282351964533,119.546915501257,"2017-09-27 14:17:34 -0700",54,4.375,15.1666666666667,17.8469927863254,31.8946393538178,116.914633732895,3
"52",52,"Utah_154",3,2,5,19,"Female","Caucasian",0,0,"Disneyland","Family and Partners","Hang out as a group",8,4,3,1,698.3,2.2,2.36363636363636,4.16666666666667,4,6.5,3.5,3,2.5,5.5,1,1,3.66666666666667,1.88888888888889,3.6,4.2,3,2,2,2,1,1,3,3,1,3,3,5,3,5,2,5,4,4,5,2,2,2,3,2,1,4,3,1,1,1,4,1,2,2,4,3,2,5,2,3,4,1,1,172.047757351026,13.3118503172917,23.5246046357813,62.1111187464769,71.9496754453017,89.1670869120908,81.9148982221444,"2017-09-29 08:28:37 -0700",-24,3.875,60,51.2445119012758,18.4182274765365,85.5409925671176,3
"53",53,"Utah_155",4,5,1,41,"Male","Other",0,0,"at home","no one","Study and play on computer",14,12,5,5,1639.5,4.13333333333333,2.63636363636364,2.33333333333333,1.375,2,2,5,5,6,2,8.66666666666667,7.33333333333333,6,4.2,1,1,1,1,1,1,1,2,5,2,1,4,2,5,3,3,4,1,1,3,4,1,3,4,4,3,5,4,4,3,4,1,4,5,4,4,2,4,2,3,2,1,1,1,261.785494725926,48.9025563875,46.0098508362188,74.66708626794,92.5223336740172,156.232231393029,96.0424393821923,"2017-09-29 12:55:39 -0700",38,3.625,35.4166666666667,47.559452426952,47.4562036118594,126.137335387611,1
"54",54,"Utah_156",2,2,3,21,"Female","Asian/Pacific-Islanders",0,0,"Hawaii","myself","go to the beach",9,6,3,1,1027.7,3.8,4.09090909090909,4.66666666666667,1.625,3,5,6,5.5,7,1,1.33333333333333,1.33333333333333,1.22222222222222,4.6,1.8,2,4,3,3,1,3,1,3,1,3,5,2,5,2,4,4,2,2,2,1,5,4,5,5,5,5,3,2,4,3,1,1,1,5,5,5,1,1,5,3,5,5,3,229.967163689202,41.418877535625,59.08760059475,69.9817394941246,82.8095822297942,130.143614576756,248.36352408291,"2017-10-02 06:12:28 -0700",28,4.125,90.3333333333333,42.6003272145635,50.2532390651875,189.253569329833,3
"55",55,"Utah_157",4,4,4,34,"Male","Caucasian",0,0,"Oregon","My wife","visit family",13,9,5,3,1271.2,4.13333333333333,3.18181818181818,4.16666666666667,2.5,3,6.5,5.5,5.5,6.5,1.66666666666667,8.33333333333333,2.33333333333333,4.11111111111111,4.8,3.8,1,1,2,1,1,2,3,4,1,2,5,5,4,5,5,4,3,3,4,4,1,2,2,3,1,4,3,4,2,2,2,1,1,4,5,4,4,1,1,1,1,2,1,243.62646094238,35.309248726125,62.651743952375,68.6862710690721,82.9969475469528,195.531913424776,240.32279140249,"2017-10-02 09:06:59 -0700",52,5.6875,14.8333333333333,12.2164816638189,48.98049633925,217.927352413633,2
"56",56,"Utah_158",5,5,10,36,"Female","Asian/Pacific-Islanders",2,2,"beach","family","swim, picnic, expore, check animals",19,12,6,4,1688.9,4.13333333333333,3.27272727272727,4,5,5.5,4.5,7,5.5,6.5,1.66666666666667,3.66666666666667,1,2.11111111111111,3,3,7,4,7,4,3,2,4,4,1,4,5,4,4,3,5,3,3,4,3,2,3,3,3,4,3,3,3,4,3,4,5,2,2,3,5,5,3,3,5,3,3,3,3,287.614074680671,42.828562165375,60.300964925625,66.2505063557406,78.6046119832073,217.661948571223,512.270539249827,"2017-10-03 08:31:02 -0700",8,5.5625,96.5,48.4083013166506,51.5647635455,364.966243910525,4
"57",57,"Utah_159",3,5,2,18,"Male","Caucasian",0,0,"at home","my friends","play video games and board games",17,14,6,7,963.2,4.46666666666667,2.81818181818182,4,1.375,1.5,4,4.5,5,6,1.66666666666667,8.33333333333333,6,5.33333333333333,5.2,2.4,4,4,3,2,1,3,5,4,1,4,4,3,4,3,3,4,3,1,3,1,4,3,4,5,5,1,4,4,4,5,2,3,2,3,4,2,4,2,1,4,1,1,1,51.6529198591836,18.8995070025417,15.688354583625,54.0443504967877,56.9245026971429,67.0870285475684,78.0578574520758,"2017-10-03 13:50:52 -0700",30,5.125,13.4166666666667,13.1249819624696,17.2939307930833,72.5724429998221,4
"58",58,"Utah_160",2,3,3,18,"Male","Caucasian",0,0,"Home","Nobody","Study, play videogames",6,5,1,4,65.4,3,2.54545454545455,3.5,2.75,1,4,5,3,2.5,1,1.66666666666667,1.33333333333333,1.33333333333333,3.2,3.2,5,2,3,2,2,2,5,4,1,4,3,4,4,4,3,4,3,2,2,2,1,1,2,2,1,4,2,5,3,3,5,1,4,4,3,2,2,2,2,2,1,1,1,307.77693049086,15.257678074125,23.4385748857813,71.9454099039259,62.2511397022635,99.3953541424981,57.3096440482251,"2017-10-04 14:45:49 -0700",26,2.6875,17.8333333333333,24.9174394326301,19.3481264799532,78.3524990953616,4
"59",59,"Utah_161",3,4,5,47,"Female","Caucasian",4,3,"Home","My family","Spend time together",29,23,10,11,2175.6,3.33333333333333,1.45454545454545,3.83333333333333,3.75,6,6.5,6.5,3.5,5,1,1,1,1,2.4,5.6,2,2,6,1,1,1,3,2,1,3,4,4,4,4,4,4,5,4,5,4,4,4,4,2,2,2,1,4,4,2,3,1,2,4,5,4,4,1,1,5,1,1,1,NA,52.2391123193333,64.91408741875,68.1438693940016,81.6167827154753,221.902782805659,507.842093148843,"2017-10-04 15:35:23 -0700",42,4.125,26.0833333333333,31.6671850037323,58.5765998690417,364.872437977251,3
"60",60,"Utah_162",3,5,2,19,"Male","Caucasian",0,0,"The Mountains","Close Friends","Camp, Have a fire, Listen to music",14,11,8,2,1457.1,5.4,4.54545454545455,4.66666666666667,2.125,4.5,4,5.5,5.5,6.5,2,2.33333333333333,6.66666666666667,3.66666666666667,4.4,2,6,4,3,1,3,2,1,2,1,2,5,3,5,2,5,1,1,1,2,4,5,5,5,5,4,5,4,5,4,2,1,1,1,5,5,3,1,1,1,2,4,3,2,376.24170207137,13.2579218802083,29.7093487427187,74.1588970848317,96.2254031359845,83.3174003158151,138.237326581764,"2017-10-06 08:20:34 -0700",66,1.625,43.4166666666667,37.2911355134003,21.4836353114635,110.77736344879,2
"61",61,"Utah_163",3,3,1,18,"Female","Asian/Pacific-Islanders",0,0,"My room","No one","homework, study, sleep",6,5,3,1,878.5,3,2.27272727272727,4.16666666666667,4.125,2,5,5.5,4,5.5,1,1.66666666666667,1,1.22222222222222,3.4,4.4,2,2,2,1,1,1,3,4,1,4,4,4,5,5,2,5,5,4,4,1,2,4,4,1,4,2,4,1,2,1,2,2,3,4,2,1,5,5,3,4,1,1,2,119.675896336455,38.3956688775833,51.5335700550625,53.3965473133858,93.162179360848,106.809296855313,193.998882435806,"2017-10-06 09:33:56 -0700",36,3.875,8.25,7.60532110373448,44.9646194663229,150.40408964556,4
"62",62,"Utah_164",5,5,2,22,"Male","Asian/Pacific-Islanders",0,0,"Beach ","Family, Friends ","Relax, Explore ",12,9,3,4,1050.1,4.73333333333333,3.63636363636364,4,2.25,2,4.5,5.5,5.5,3.5,1.33333333333333,3.66666666666667,2.66666666666667,2.55555555555556,3.4,3.4,5,3,2,2,2,2,3,2,1,3,4,3,5,2,3,3,3,3,3,1,4,4,3,4,5,4,4,4,5,2,1,1,1,3,4,3,3,2,2,4,4,3,3,101.372908072925,18.714363549875,23.4808218492187,54.3358830831916,67.702314681689,62.6093500517919,78.0946211313594,"2017-10-06 10:01:35 -0700",42,4.25,22,38.5581025561071,21.0975926995469,70.3519855915757,3
"63",63,"Utah_165",3,3,3,18,"Female","Caucasian",0,5,"Anywhere outside with nature","My family and friends","Relax and play around.",8,5,2,2,698.2,3.73333333333333,3.72727272727273,4.33333333333333,2.875,6.5,6.5,5,5.5,6.5,1,1,1.66666666666667,1.22222222222222,4.8,4,3,5,3,2,1,2,3,4,1,4,5,4,5,2,5,2,3,2,2,2,4,4,4,4,3,2,3,3,3,3,4,1,2,4,5,3,2,2,3,2,3,1,1,483.219287218124,21.1427283639167,37.2156961395312,73.2648789331679,81.0191460745511,100.218866220217,69.135683153971,"2017-10-06 12:36:52 -0700",32,4.9375,17.4166666666667,15.3235311224471,29.1792122517239,84.677274687094,4
"64",64,"Utah_166",3,5,8,25,"Male","Caucasian",0,2,"At a lake","Family or friends","Boating activities",14,33,12,19,2791.9,3.46666666666667,2.09090909090909,3.5,1,3.5,5,4,5,6,1,1,5.33333333333333,2.44444444444444,3,3,3,2,3,1,2,4,3,3,1,3,4,4,4,3,2,4,4,2,1,4,3,2,2,3,2,3,2,3,3,4,3,1,2,2,5,4,1,4,2,1,3,2,1,179.490171816331,28.2578762154167,53.2095001181875,73.7665899788155,79.1714855558614,73.4238193979106,91.5995333131015,"2017-10-06 13:54:27 -0700",74,4.9375,19.4166666666667,15.4417281965773,40.7336881668021,82.5116763555061,3
"65",65,"Utah_167",3,3,2,19,"Male","Caucasian",0,0,"Any forest, mountains, woods, or wilderness.","Family","Wander, or follow a trail to find an interesting landmark.",3,18,4,13,1308.4,3.53333333333333,2.63636363636364,4.33333333333333,2.5,4.5,7,5,4.5,7,1,1,2,1.33333333333333,3.2,1.8,1,3,2,2,2,2,4,5,1,1,5,3,5,2,5,2,5,1,3,3,4,3,4,4,4,2,4,5,3,5,1,1,2,4,5,4,5,5,2,2,1,1,5,393.872382550517,19.6771654990833,50.75012721475,54.069146098409,88.4289230596019,75.6602773933614,116.05130726178,"2017-10-06 14:41:41 -0700",24,4.5625,6.66666666666667,4.05268336096498,35.2136463569167,95.8557923275707,1
"66",66,"Utah_168",2,5,1,18,"Male","Asian/Pacific-Islanders",0,0,"Home","No one","Write code, compile and update every once in a while to the newest version of the Linux kernel, do homework, nothing particularly outstanding.",5,3,0,3,32.7,3.26666666666667,2.45454545454545,4.5,2,1.5,2,3.5,6.5,4.5,1,2.66666666666667,1,1.55555555555556,3.8,3.6,3,3,2,1,1,1,5,5,1,2,3,4,4,4,1,5,3,4,3,2,4,1,2,4,4,1,3,2,3,2,2,1,4,1,1,1,4,4,2,4,2,1,1,307.11727310321,32.5219618238333,57.6633770053125,66.8126973314202,77.9767787903708,89.6272131381994,120.312119960946,"2017-10-10 08:00:29 -0700",22,4.9375,24.8333333333333,37.1772983842494,45.0926694145729,104.969666549573,2
"67",67,"Utah_169",4,2,1,27,"Male","Caucasian",0,0,"Outdoors, a forest","friends, family","take pictures, explore",9,7,2,4,916.9,4.46666666666667,4.45454545454545,4.83333333333333,4.25,3,6.5,4,5,4.5,2,4.66666666666667,4.66666666666667,3.77777777777778,5.6,5.4,1,3,2,2,2,2,3,1,1,3,4,5,5,3,5,4,2,2,5,2,4,5,5,5,4,5,5,4,5,1,2,2,1,4,5,5,2,4,4,2,1,1,1,352.729098790471,17.087304890625,51.7348011787813,63.4966402291335,75.5138728965225,92.3279433848437,287.338258099759,"2017-10-10 08:18:59 -0700",24,4.5625,19.0833333333333,12.1090374464194,34.4110530347031,189.833100742301,3
"68",68,"Utah_170",3,4,2,20,"Male","Caucasian",0,0,"Home","My fiance","Watch shows, play games, do homework, read",4,24,6,18,1355.9,4.93333333333333,3.09090909090909,4,1.875,5.5,6,4.5,6,6.5,3.33333333333333,6.66666666666667,7.33333333333333,5.77777777777778,4.2,2.2,7,8,3,2,1,2,3,1,1,3,4,4,4,5,5,5,2,2,2,5,4,5,5,5,4,4,4,5,5,4,2,1,1,4,5,1,1,1,1,2,5,5,5,485.452685968429,22.7324200158333,64.013276943875,61.6581471060714,95.9442798256121,47.8807456528531,156.769467863621,"2017-10-10 15:20:32 -0700",80,6.25,10.9166666666667,12.8943844953977,43.3728484798541,102.325106758237,3
"69",69,"Utah_171",4,5,1,20,"Female","Asian/Pacific-Islanders",0,0,"Coffee Shops ","Friends ","Homework ",27,23,9,13,1942.2,3.33333333333333,2.18181818181818,4.33333333333333,3.375,6,6.5,6.5,3,6.5,1.33333333333333,3.33333333333333,2,2.22222222222222,3.8,4.4,4,4,4,2,1,1,5,5,1,4,5,5,5,5,5,2,5,1,4,3,5,3,3,4,3,2,4,2,4,1,4,1,1,5,5,5,2,1,1,3,5,3,2,284.046073078091,60.4006860202917,54.6710956135313,55.0925563733398,86.1744227671937,155.713649666214,129.955171283739,"2017-10-16 09:16:35 -0700",24,3.75,23.5833333333333,24.853967429159,57.5358908169115,142.834410474976,4
