participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route
u1075688,1/30/2018 9:09,0,Tobler Museum,Sauer Center,Lynch Station,55,156.2355625,101.2355625,different
u1075688,1/30/2018 9:09,0,Tobler Museum,Sauer Center,Batty House,40,171.0086651,131.0086651,different
u1075688,1/30/2018 9:09,0,Tobler Museum,Sauer Center,Harris Hall,17,173.2852643,156.2852643,different
u1075688,1/30/2018 9:09,0,Tobler Museum,Sauer Center,Harvey House,6,147.248191,141.248191,different
u1075688,1/30/2018 9:09,0,Tobler Museum,Sauer Center,Sauer Center,36,20.69981416,15.30018584,same
u1075688,1/30/2018 9:09,0,Tobler Museum,Sauer Center,Golledge Hall,79,67.30353066,11.69646934,same
UT_141,9/19/2017 13:54,0,Batty House,Lynch Station,Tobler Museum,11,37.30802198,26.30802198,different
UT_141,9/19/2017 13:54,0,Batty House,Lynch Station,Harvey House,7,93.19423766,86.19423766,same
UT_141,9/19/2017 13:54,0,Batty House,Lynch Station,Snow Church,31,48.19947553,17.19947553,different
UT_141,9/19/2017 13:54,0,Batty House,Lynch Station,Sauer Center,84,30.3316951,53.6683049,different
UT_141,9/19/2017 13:54,0,Batty House,Lynch Station,Golledge Hall,38,51.76768154,13.76768154,different
UT_141,9/19/2017 13:54,0,Batty House,Lynch Station,Harris Hall,37,37.5286373,0.528637304,same
UT_141,9/19/2017 13:54,0,Batty House,Lynch Station,Lynch Station,37,47.32798389,10.32798389,same
UT_141,9/19/2017 13:54,0,Lynch Station,Harris Hall,Snow Church,70,8.968174613,61.03182539,different
UT_141,9/19/2017 13:54,0,Lynch Station,Harris Hall,Golledge Hall,31,3.323863738,27.67613626,different
UT_141,9/19/2017 13:54,0,Lynch Station,Harris Hall,Tobler Museum,32,17.95076442,14.04923558,different
UT_141,9/19/2017 13:54,0,Lynch Station,Harris Hall,Sauer Center,32,29.20903342,2.790966576,different
UT_141,9/19/2017 13:54,0,Lynch Station,Harris Hall,Batty House,138,130.6542463,7.345753667,same
UT_141,9/19/2017 13:54,0,Lynch Station,Harris Hall,Harvey House,26,48.19593801,22.19593801,same
UT_141,9/19/2017 13:54,0,Lynch Station,Harris Hall,Harris Hall,2,7.021704671,5.021704671,same
UT_141,9/19/2017 13:54,0,Harris Hall,Harvey House,Snow Church,129,84.7281122,44.2718878,different
UT_141,9/19/2017 13:54,0,Harris Hall,Harvey House,Sauer Center,93,110.6574336,17.65743363,different
UT_141,9/19/2017 13:54,0,Harris Hall,Harvey House,Harvey House,9,2.146796904,6.853203096,same
UT_141,9/19/2017 13:54,0,Harris Hall,Harvey House,Tobler Museum,9,99.95984558,90.95984558,different
UT_141,9/19/2017 13:54,0,Harris Hall,Harvey House,Golledge Hall,92,77.71082192,14.28917808,different
UT_141,9/19/2017 13:54,0,Harris Hall,Harvey House,Lynch Station,112,114.5627943,2.562794278,same
UT_141,9/19/2017 13:54,0,Harris Hall,Harvey House,Batty House,63,83.35216568,20.35216568,same
UT_141,9/19/2017 13:54,0,Harvey House,Harris Hall,Harris Hall,2,4.196894849,2.196894849,same
UT_141,9/19/2017 13:54,0,Harvey House,Harris Hall,Batty House,58,46.54689912,11.45310088,same
UT_141,9/19/2017 13:54,0,Harvey House,Harris Hall,Snow Church,58,66.19140238,8.191402375,different
UT_141,9/19/2017 13:54,0,Harvey House,Harris Hall,Tobler Museum,16,42.14615863,26.14615863,different
UT_141,9/19/2017 13:54,0,Harvey House,Harris Hall,Lynch Station,16,32.28246429,16.28246429,same
UT_141,9/19/2017 13:54,0,Harvey House,Harris Hall,Golledge Hall,33,64.9530254,31.9530254,different
UT_141,9/19/2017 13:54,0,Harvey House,Harris Hall,Sauer Center,70,46.29205396,23.70794604,different
UT_141,9/19/2017 13:54,0,Golledge Hall,Snow Church,Sauer Center,72,76.21088344,4.210883445,same
UT_141,9/19/2017 13:54,0,Golledge Hall,Snow Church,Harris Hall,127,176.2022806,49.20228061,different
UT_141,9/19/2017 13:54,0,Golledge Hall,Snow Church,Snow Church,4,1.204134401,2.795865599,same
UT_141,9/19/2017 13:54,0,Golledge Hall,Snow Church,Lynch Station,155,173.9683139,18.96831391,different
UT_141,9/19/2017 13:54,0,Golledge Hall,Snow Church,Batty House,67,173.5694617,106.5694617,different
UT_141,9/19/2017 13:54,0,Golledge Hall,Snow Church,Tobler Museum,172,147.0284471,24.97155294,same
UT_141,9/19/2017 13:54,0,Golledge Hall,Snow Church,Harvey House,63,139.9309368,76.93093678,different
UT_141,9/19/2017 13:54,0,Snow Church,Sauer Center,Batty House,155,90.64700942,64.35299058,different
UT_141,9/19/2017 13:54,0,Snow Church,Sauer Center,Sauer Center,85,0.279262352,84.72073765,same
UT_141,9/19/2017 13:54,0,Snow Church,Sauer Center,Tobler Museum,53,63.69277617,10.69277617,same
UT_141,9/19/2017 13:54,0,Snow Church,Sauer Center,Harvey House,50,119.6929579,69.69295786,different
UT_141,9/19/2017 13:54,0,Snow Church,Sauer Center,Lynch Station,178,79.44851915,98.55148085,different
UT_141,9/19/2017 13:54,0,Snow Church,Sauer Center,Golledge Hall,119,125.8431145,6.84311455,same
UT_141,9/19/2017 13:54,0,Snow Church,Sauer Center,Harris Hall,170,88.09346154,81.90653846,different
UT_141,9/19/2017 13:54,0,Sauer Center,Tobler Museum,Tobler Museum,87,2.713388186,84.28661181,same
UT_141,9/19/2017 13:54,0,Sauer Center,Tobler Museum,Golledge Hall,45,51.85616181,6.856161813,same
UT_141,9/19/2017 13:54,0,Sauer Center,Tobler Museum,Lynch Station,71,17.76205492,53.23794508,different
UT_141,9/19/2017 13:54,0,Sauer Center,Tobler Museum,Snow Church,93,89.63525726,3.364742741,same
UT_141,9/19/2017 13:54,0,Sauer Center,Tobler Museum,Harvey House,131,23.09134403,107.908656,different
UT_141,9/19/2017 13:54,0,Sauer Center,Tobler Museum,Harris Hall,9,4.240040564,4.759959436,different
UT_141,9/19/2017 13:54,0,Sauer Center,Tobler Museum,Batty House,3,6.744508622,3.744508622,different
UT_141,9/19/2017 13:54,0,Tobler Museum,Sauer Center,Harvey House,84,147.248191,63.248191,different
UT_141,9/19/2017 13:54,0,Tobler Museum,Sauer Center,Batty House,84,171.0086651,87.00866514,different
UT_141,9/19/2017 13:54,0,Tobler Museum,Sauer Center,Golledge Hall,50,67.30353066,17.30353066,same
UT_141,9/19/2017 13:54,0,Tobler Museum,Sauer Center,Harris Hall,13,173.2852643,160.2852643,different
UT_141,9/19/2017 13:54,0,Tobler Museum,Sauer Center,Lynch Station,87,156.2355625,69.23556255,different
UT_141,9/19/2017 13:54,0,Tobler Museum,Sauer Center,Sauer Center,33,20.69981416,12.30018584,same
UT_141,9/19/2017 13:54,0,Tobler Museum,Sauer Center,Snow Church,36,38.78279809,2.782798086,same
UT_141,9/19/2017 13:03,0,Batty House,Lynch Station,Snow Church,0,48.19947553,48.19947553,different
UT_141,9/19/2017 13:03,0,Batty House,Lynch Station,Tobler Museum,50,37.30802198,12.69197802,different
UT_141,9/19/2017 13:03,0,Batty House,Lynch Station,Lynch Station,23,47.32798389,24.32798389,same
