,id,Between_Pointing_Corrected,Within_Pointing_Corrected
0,u1075688,74.2543817340499,34.98683331487136
1,UT_141,61.5169660854598,34.54026161518038
2,UT_143,78.88603801788722,37.10029239903571
3,UT_168,73.48975845214113,45.87005068512265
4,Utah_101,51.98577060796833,7.273898792033883
5,Utah_102,75.77619437537868,49.58658991989534
6,Utah_104,72.63217559097805,69.54073350458671
7,Utah_105,73.6477523753278,54.86737280067962
8,Utah_107,27.23896226308647,30.505357097947435
9,Utah_108,33.01587606922847,26.050277878467412
10,Utah_109,77.44896061940102,45.57606589812644
11,Utah_110,22.43517745118206,20.165379350772184
12,Utah_111,58.91880133511907,45.401231933319806
13,Utah_112,86.37988642284688,18.531367616321045
14,Utah_113,58.825946773486656,42.14787239146087
15,Utah_114,44.755353056161766,25.719403282603377
16,Utah_115,66.81573664722086,45.59537715623538
17,Utah_116,53.8997960434418,23.84925414406265
18,Utah_117,66.22152873941957,43.70519024652951
19,Utah_118,70.78714928141034,66.55537343654935
20,Utah_119,74.1723754482772,87.81135169448498
21,Utah_120,46.75233903561973,43.444555000069734
22,Utah_121,53.48508100667685,32.00099123979595
23,Utah_122,70.59364437280323,37.62674928927422
24,Utah_123,48.91507201579064,22.87508675950866
25,Utah_124,27.187062452396475,26.570120819693948
26,Utah_125,36.52683143872526,40.41304825633736
27,Utah_126,40.03125153407002,22.619296433000464
28,Utah_127,70.1004410724118,38.122413589954846
29,Utah_128,52.65236254165534,17.86809968385864
30,Utah_129,69.14832642470233,43.13135706707725
31,Utah_130,71.76324796942751,43.62403337437451
32,Utah_131,81.60847475453744,61.20291505243182
33,Utah_132,42.303029622211824,23.898170630347842
34,Utah_133,29.503875699967505,27.930321476114642
35,Utah_134,55.92072831762054,16.22847342413782
36,Utah_135,64.11354559265732,41.87546754539076
37,Utah_136,66.99603257479083,25.989859900693617
38,UTah_137,23.712715565729535,9.392558963221047
39,Utah_138,89.31113406627213,39.70019825274726
40,Utah_139,63.48540632941443,17.745332651330497
41,Utah_142,63.28264875930715,26.091717694628496
42,Utah_144,35.190717751867645,33.98841590286089
43,Utah_145,62.758595166747675,25.608178007567943
44,Utah_146,52.39971485513179,44.6235556601895
45,Utah_147,44.650224648653825,41.51235983089261
46,Utah_148,59.94915247447401,52.83084154236318
47,Utah_149,83.55786826786263,65.00924850539045
48,Utah_150,67.69538153558173,50.21749963754718
