,id,Between_Pointing_Corrected,Within_Pointing_Corrected
102,Utah_206,45.877496186960165,16.523875557626592
103,Utah_207,41.960935288062025,26.23270718596023
104,Utah_208,57.38826182963763,9.45032103536734
105,Utah_209,76.68334169451023,62.29667715761059
106,Utah_210,71.42863743089393,56.93702888214154
107,Utah_211,72.75698886544069,31.86494916646673
108,Utah_212,54.904353820124285,27.191746162341573
109,Utah_213,48.760381143915545,21.73670789291975
110,Utah_214,52.80806966698744,43.87559253262149
111,Utah_215,28.808434502769643,17.274969837617036
112,Utah_217,68.02287949307785,61.030737789128764
113,Utah_218,31.820247905197483,28.324570611040865
114,Utah_219,20.214179300429226,14.419891152151944
115,Utah_221,49.615862547567595,49.85744444537869
116,Utah_222,71.50754814638742,40.81990866582463
117,Utah_223,60.723201365972564,50.817632865278775
118,Utah_224,62.3808637058454,45.718507703249024
119,Utah_225,43.78016916755361,32.688556055899795
120,Utah_2256,44.513507193658135,26.412539401862066
121,Utah_226,48.224833496235675,19.76948268265146
122,Utah_227,51.0741848423133,22.071854697825593
123,Utah_228,49.043173813184595,39.514518550159266
124,Utah_229,70.07057976484859,61.89902981862597
125,Utah_230,61.443142363750546,64.99388088116429
126,Utah_231,74.6918714454199,62.08955512605772
127,Utah_232,67.71888379755973,26.986901975824395
128,Utah_233,52.26801893491677,35.997527460289014
129,Utah_234,70.81066051898023,38.538973765971036
130,Utah_235,55.58540050885533,42.87704765730344
131,Utah_236,54.33344060102998,58.67346112560473
132,Utah_237,53.41996144451064,54.81708094062063
133,Utah_238,60.716160870014356,52.345432626356754
134,Utah_239,77.08059515490004,65.26390483929626
135,Utah_240,79.77193050361927,41.77790563723341
136,Utah_241,39.348150738726375,25.547668317121662
137,Utah_242,30.705027033403358,17.361850751956315
138,Utah_243,75.53107154383395,63.13253453758482
139,Utah_244,68.98946086768689,43.984106786868644
140,Utah_245,84.57594118460753,41.91301874981075
141,Utah_246,66.32164581890476,52.54476687324699
142,Utah_247,78.03216062371644,51.233113774174214
143,Utah_248,63.57391777552153,71.43095585482439
144,Utah_249,76.35973660131768,55.53816618831372
145,Utah_250,67.14034327383442,50.37506189346982
146,Utah_251,68.73147399268717,53.89097301378407
147,Utah_253,16.939276797980376,15.515248863088072
148,Utah_254,78.40596702424682,37.73644685456849
149,Utah_257,14.636716021095369,8.26564389728936
150,Utah_258,75.28162708384616,15.426755931200496
151,Utah_259,56.94009807426309,33.873313249015155
152,Utah_260,73.48768036991459,80.70743218222503
153,Utah_261,71.95672165240734,76.22747211657506
154,Utah_262,72.6321793353608,40.95835869392634
155,Utah_263,73.75996584729629,24.241558239154614
156,Utah_265,73.3739331146522,72.17939145314656
157,Utah_266,70.55022523100018,47.48807916856831
158,Utah_267,61.20319038732136,27.427229190285072
159,Utah_268,41.19941518579016,30.15444362180401
160,Utah_270,80.9100382017674,58.86247209053845
161,Utah_271,47.68798718601578,51.171449866460726
162,Utah_272,64.18121289701102,8.54261953632493
163,Utah_273,58.56467620738273,19.666503059777064
164,Utah_274,59.723686758862115,48.215292518534795
165,Utah_275,64.43294652363053,36.71315303766735
166,Utah_276,59.237387338057054,50.361648744626265
167,Utah_278,60.641895479274766,50.761795109447874
168,Utah_279,64.48870333601596,37.029238421259485
169,Utah_280,81.22320855738607,52.53442073550891
170,Utah_281,77.53929815494703,44.093258988953096
171,Utah_282,68.7846499117691,30.91603966112538
172,Utah_283,66.24810506680913,40.56549933244914
173,Utah_284,60.15926640720422,39.54534010828626
174,Utah_285,74.33421932497038,38.68707245381748
175,Utah_286,90.04435743981335,56.28375667781662
176,Utah_287,47.51861714980164,20.11645398584673
177,Utah_288,33.41608522711526,29.367886616107572
178,Utah_289,38.088330172089734,23.889142628485285
179,Utah_290,73.08005325449912,30.620558885848716
180,Utah_291,80.375647576913,73.32181724501326
181,Utah_292,68.89965549759097,89.92527808199745
182,Utah_293,22.170474426074282,18.784227636282996
183,Utah_294,52.16922604186476,44.83966195641952
184,Utah_295,37.02617514788556,30.392643147985027
185,Utah_296,63.76245214760507,70.92859713991858
186,Utah_297,27.62892294178371,8.838028634782832
187,Utah_298,65.95954734248897,73.97235293966224
188,Utah_299,54.3282932118824,28.130870511300163
189,Utah_300,51.36839566135217,16.439088895266817
190,Utah_301,50.296554595383576,50.86143047613584
191,Utah_303,53.6892148218409,38.81001018334265
192,Utah_304,55.33999128971888,37.815378469420864
193,Utah_305,21.78675981808335,8.285636181210146
194,Utah_306,41.81715550763027,13.555520394365331
195,Utah_307,69.81380056331119,22.293781210929623
196,Utah_308,30.817106957503686,41.19553252329668
197,Utah_309,31.49827791411919,42.407713224386946
198,Utah140,66.7984222754321,44.55454770112933
