good_pointing_coding_between,good_pointing_coding_within,bad_pointing_coding_between,bad_pointing_coding_within,trackpad/mouse,Site,Experimenter ,NOTES,gender,Age,Hispanic,Racial_Category,Racial_Category_Text,Education_Level,Education_Level_Text,Handedness,First_Language,Age_started_speaking_English,participant,Participant_UUID_Silcton,date,MRT,SBSOD,New_or_Original,Education_Numeric,Overall_r,Overall_rsquared,Overall_angle,Overall_x_scale,Overall_y_scale,Overall_distortion_index,Batty_r,Batty_rsquared,Batty_angle,Batty_x_scale,Batty_y_scale,Batty_distortion_index,Golledge_r,Golledge_rsquared,Golledge_angle,Golledge_x_scale,Golledge_y_scale,Golledge_distortion_index,good_pointing_coding_total,bad_pointing_coding_total,Study,Motivation,Buildings_ID,Differently_Classified,Ethnicity,WRAT,Buildings_Percent,Study_Combined_Correct,Cluster_Matches,K_Means_Across_All,SAQ,Total_Time_in_Environment,Within_rsquared_average
16.20731014,5.569668553,15.38523081,4.719927314,mouse,UF,Amanda,"asis laptop, chrome, no issues running study, participant talked to themselves the entre study to remember things- did not seem distracting",Male,18,Hispanic/Latino,White,,High School,,Both,Spanish,5,110,39bc04c5-fa30-4f6a-bdda-6820699b82f6,2020-10-22 16:34:16 UTC,48,5.533333333,New,,0.951745685,0.905819849,-42.75987203,0.928873995,0.928873995,0.094180151,0.988867773,0.977859472,-43.77912196,1.187266122,1.187266122,0.022140528,0.960248294,0.922076787,-81.49789653,1.063119086,1.063119086,0.077923213,11.64832089,10.81438645,,,,,,,,,,,,,0.949968129
59.29779865,14.12363944,48.79142516,11.46444919,trackpad,Temple,Sarah,"Participant did not have time to complete first round of MRT. The screen froze at the beginning of each route. However, doing the “three swipe” feature on the Mac’s trackpad fixed this issue each time. There were no distractions and the participant was focused.  ",Female,21,Not Hispanic/Latino,White,,High School,,Right,Russian,5-Apr,112,6f49cf77-8084-4d0f-a0a7-191c51ab300b,2020-10-23 15:07:43 UTC,32,4.533333333,New,,0.813333221,0.661510929,38.02897198,0.815220695,0.815220695,0.338489071,0.884357941,0.782088967,65.96764987,1.06244103,1.06244103,0.217911033,0.873471906,0.762953171,-42.59704322,1.135339031,1.135339031,0.237046829,39.9374447,32.79414975,,,,,,,,,,,,,0.772521069
48.02258835,8.486040015,37.03556443,8.069373347,trackpad,UF,Rachel,Using chrome; Timed out of MRT part 1; Could hear yelling in the background during MRT part 2;,Female,18,Hispanic/Latino,White,,High School,,Right,Spanish,4,116,02f447fe-12a1-48a2-8cc5-2af2f9b4c034,2020-10-27 19:03:52 UTC,26,2.866666667,New,,0.903360542,0.816060268,48.56744807,0.931154814,0.931154814,0.183939732,0.932240541,0.869072426,65.91999578,0.83959106,0.83959106,0.130927574,0.958823118,0.919341772,-75.01200009,1.142390347,1.142390347,0.080658228,31.07835335,24.62148254,,,,,,,,,,,,,0.894207099
43.48360921,5.24569963,38.15555932,4.157609634,trackpad,UF,Amanda,"Mac, ios, chrome, laptop, clicked through ""point to tobler"" accidentally while trying to go full screen",Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,118,febbf5fa-b4ee-4101-8cf5-162acec2ce05,2020-10-28 13:35:59 UTC,44,4.866666667,New,,0.897896939,0.806218913,-35.5988801,0.839635262,0.839635262,0.193781087,0.984470062,0.969181303,-37.40831291,1.091644925,1.091644925,0.030818697,0.891242719,0.794313584,21.11258586,1.116328585,1.116328585,0.205686416,27.09593367,23.58500945,,,,,,,,,,,,,0.881747443
55.36133232,67.52434454,43.67760177,44.2342988,trackpad,UF,Brandi,"mac, ios, safari, no problems. ",Female,19,Not Hispanic/Latino,White,,High School,,Right,English,,119,c1ec3fe4-63ce-4954-8bdc-dc5e1d9ad226,2020-10-29 16:09:28 UTC,14,2.933333333,New,,0.716401547,0.513231177,-12.53193101,0.639107441,0.639107441,0.486768823,0.814473028,0.663366314,-59.87239276,0.656264981,0.656264981,0.336633686,0.757161794,0.573293982,-84.55425978,0.966763061,0.966763061,0.426706018,60.57405184,43.91618621,,,,,,,,,,,,,0.618330148
62.65897109,52.1629987,53.15266304,39.21325855,trackpad,UF,Brandi,"nothing showed up on the ""instruction"" portion of the mental rotation task, but worked after refreshing the page. participant had a very dificult time with the mental rotation task. Also had some dificulty navigating the world (using trackpad and arrow keys together), but eventually seemed to get the hang of it.",Female,18,Not Hispanic/Latino,White,,College,,Right,English,,12,93b4bc24-8c25-4781-a882-0c8aa02d4630,2020-07-16 16:20:32 UTC,2,3.8,New,,0.651344139,0.424249188,-5.554365766,0.491534307,0.491534307,0.575750812,0.918771116,0.844140364,-17.52284522,1.18610636,1.18610636,0.155859636,0.169840566,0.028845818,34.66684171,0.202035827,0.202035827,0.971154182,58.16069721,47.17863255,,,,,,,,,,,,,0.436493091
53.72053447,11.57404756,44.49714335,9.561814487,trackpad,Temple,Sarah,"Participant was unable to optimize for screen sharing. At the beginning of each route, the screen froze and would not allow the participant to look around. This was fixed when the participant did the 3 swipe feature on Mac, but it still took a bit to load",Female,20,Not Hispanic/Latino,White,,High School,,Right,English,,120,6549564b-a203-4b9c-b6ef-e1f8162169d3,2020-10-30 15:37:04 UTC,32,5.4,New,,0.936037866,0.876166886,12.61748174,0.948851373,0.948851373,0.123833114,0.958328373,0.918393271,46.22955732,0.952614179,0.952614179,0.081606729,0.936855047,0.877697379,-14.7389987,1.124878112,1.124878112,0.122302621,35.65775436,29.52485955,,,,,,,,,,,,,0.898045325
85.73268421,76.28729091,60.15817058,51.91083014,trackpad,UF,Amanda,"Acer, microsoft, chrome, laptop, had some internet issues from start",Female,34,,Black/African American,,Master's,,Left,Twi,6,122,e3f74869-23ce-4d7a-83c3-7054eef1f32d,2020-11-03 15:16:23 UTC,14,4.733333333,New,,0.728352771,0.530497758,-2.555446578,0.494108575,0.494108575,0.469502242,0.330541169,0.109257464,-72.24716987,0.253398311,0.253398311,0.890742536,0.709462873,0.503337569,-22.79298374,0.677822707,0.677822707,0.496662431,81.68465851,56.6235961,,,,,,,,,,,,,0.306297517
47.64583759,18.30347691,35.91054264,13.95192695,trackpad,UF,Amanda,"mac, laptop, chrome, study ran smoothly",Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,123,ebe52bec-935f-4ebf-ab1e-743e1c1814fe,2020-11-05 15:13:15 UTC,34,4.866666667,New,,0.756394769,0.572133047,88.11735956,0.611345314,0.611345314,0.427866953,0.783749954,0.614263991,63.09163904,0.827243654,0.827243654,0.385736009,0.861750794,0.742614432,-34.81130321,1.196883962,1.196883962,0.257385568,35.07054015,26.49970735,,,,,,,,,,,,,0.678439211
21.59453864,26.66144912,18.93790045,18.10926944,trackpad,UF,Amanda,"laptop, mac, chrome ",Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,124,5b4aadd5-412e-4b51-bd0b-7128dd0e5ec5,2020-11-05 18:27:44 UTC,52,5.266666667,New,,0.939668184,0.882976296,26.66210984,0.785728553,0.785728553,0.117023704,0.975502025,0.951604201,47.38211002,1.073468921,1.073468921,0.048395799,0.943496882,0.890186365,-9.501524219,0.722393077,0.722393077,0.109813635,23.7660717,18.58277287,,,,,,,,,,,,,0.920895283
64.80768702,35.82322708,43.8390399,25.24669261,trackpad,UF,Brandi,no problems. ,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,126,1239fd57-e248-4ee2-9ecb-1b60c88a6f57,2020-11-06 15:05:52 UTC,52,3.4,New,,0.81625823,0.666277498,43.21671658,0.711662659,0.711662659,0.333722502,0.803055866,0.644898724,87.52383559,0.678766243,0.678766243,0.355101276,0.970775294,0.942404672,-64.55327098,0.810484158,0.810484158,0.057595328,52.38577562,35.87089106,,,,,,,,,,,,,0.793651698
69.81721435,45.05775757,52.37476674,35.01090912,trackpad ,Temple,Mitch,no issues ,Male,20,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,127,265bac2e-533a-4476-ba3d-168dc5bac0d1,2020-11-06 21:08:16 UTC,-8,5.933333333,New,,0.316285781,0.100036695,72.06097576,0.292583606,0.292583606,0.899963305,0.258726396,0.066939348,68.34436071,0.420626682,0.420626682,0.933060652,0.679217849,0.461336886,81.09171746,1.182129529,1.182129529,0.538663114,59.20601859,44.93311348,,,,,,,,,,,,,0.264138117
