Participant_ID,Seen_Within,Unseen_All,Unseen_Within,Unseen_Between,Between_Pointing,Within_Pointing,Study,Motivation,Buildings_ID,Differently_Classified,Ethnicity,SBSOD,Gender,WRAT,Model_Building,Model_Building_A,Model_Building_B,Buildings_Percent,MRT,Ints_Others_Clusters,Non_Int_Imps_Only_Clusters,Study_Combined_Correct,Two_Step_Within_0,Two_Step_Within_1,Two_Step_Within_2,Two_Step_Within_3,Two_Step_Across_All,Two_Step_Within_All,Cluster_Matches,K_Means_Within_0,K_Means_Within_1,K_Means_Within_2,K_Means_Within_3,K_Means_Across_All,K_Means_Within_All,SAQ,Model_Building_Average_Within,Total_Time_in_Environment,Seen_Unseen,UnseenB_UnseenW,Pointing_mean
26,,,,,62.06997032,35.10279501,0,,,,,4,Female,,0.24393164,0.800837862,0.259186741,,-6,1,2,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.530012302,,,,50.51260947
27,,,,,52.16584965,22.22413795,0,,,,,4.93,Female,,0.495011965,0.362083353,0.77288803,,-2,1,2,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.567485692,,,,39.33368749
28,,,,,17.23311537,6.791957465,0,,,,,5.47,Female,,0.90664985,0.928753925,0.757164473,,30,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.842959199,,,,12.75833341
29,,,,,24.84958242,7.891004335,0,,,,,5.33,Male,,0.758129049,0.965957596,0.657650946,,30,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.811804271,,,,17.58162038
30,,,,,37.96482493,46.53131192,0,,,,,4.07,Female,,0.424745639,0.554639233,0.070736479,,24,1,1,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.312687856,,,,41.6361765
31,,,,,27.71418607,7.065229395,0,,,,,5,Female,,0.952920211,0.912370148,0.89119187,,40,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.901781009,,,,18.86463321
32,,,,,48.44764337,24.04104519,0,,,,,3.6,Female,,0.547137311,0.238824341,0.90616029,,30,1,1,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.572492316,,,,37.98767272
33,,,,,55.02730886,32.47361855,0,,,,,3.67,Female,,0.504879458,0.669004801,0.724727099,,24,1,2,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.69686595,,,,45.36144158
34,,,,,56.84653271,36.16901368,0,,,,,5.266666667,Male,,0.546686435,0.49640373,0.71308145,,22,1,2,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.60474259,,,,47.98473884
35,,,,,67.65566039,43.07018787,0,,,,,3.733333333,Female,,0.349289745,0.674904141,0.179608051,,14,1,2,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.427256096,,,,57.11902931
36,,,,,54.27615799,21.75919989,0,,,,,2.6,Male,,0.104485948,0.852208364,0.005381562,,34,1,2,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.428794963,,,,40.3403188
37,,,,,57.92121142,18.17652891,0,,,,,4.133333333,Female,,0.34481626,0.727353879,0.654130114,,10,1,2,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.690741997,,,,40.88777606
38,,,,,64.30408455,44.64576194,0,,,,,2.4,Female,,0.073991029,0.059134134,0.242886644,,38,1,2,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.151010389,,,,55.87908915
39,,,,,19.56364892,7.617915413,0,,,,,4,Male,,0.895525771,0.755010046,0.903090192,,72,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.829050119,,,,14.44404885
40,,,,,49.3861473,19.08686487,0,,,,,4.266666667,Male,,0.848842747,0.577652759,0.843484467,,58,1,1,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.710568613,,,,36.40074054
41,,,,,50.02363334,18.8617695,0,,,,,4.6,Male,,0.747900387,0.766725682,0.792480372,,16,1,1,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.779603027,,,,36.66854884
42,,,,,56.23082829,24.80624806,0,,,,,4.066666667,Female,,0.143424585,0.506271612,0.842473953,,46,1,2,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.674372783,,,,42.76315105
43,,,,,56.80755238,6.839923725,0,,,,,3.866666667,Male,,0.703296904,0.954981347,0.942209986,,28,1,2,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.948595667,,,,35.39285439
44,,,,,23.85172221,9.563704462,0,,,,,5.466666667,Male,,0.917262538,0.748992045,0.910665691,,22,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.829828868,,,,17.72828603
45,,,,,33.81993246,18.94990221,0,,,,,5.2,Male,,0.60349045,0.675357316,0.933771874,,24,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.804564595,,,,27.44706235
46,,,,,45.13465385,22.38192937,0,,,,,4.6,Male,,0.6820771,0.367945998,0.858423791,,68,1,1,,Non-Integrator,,,,Non-Integrator,Non-Integrator,0,Non-Integrator,,,,Non-Integrator,Non-Integrator,,0.613184895,,,,35.38348622
47,,,,,51.35253146,33.52155284,0,,,,,3.067,Male,,0.267793822,0.098063384,0.845107871,,48,1,2,,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,0,Imprecise Navigator,,,,Imprecise Navigator,Imprecise Navigator,,0.471585628,,,,43.71068348
48,,,,,12.70046804,6.329310353,0,,,,,5.666666667,Male,,0.889267468,0.952044607,0.806169996,,50,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.879107302,,,,9.969971888
49,,,,,26.80374422,11.63489553,0,,,,,6.46667,Male,,0.459695293,0.294700616,0.587162407,,46,2,,,Integrator,,,,Integrator,Integrator,0,Integrator,,,,Integrator,Integrator,,0.440931512,,,,20.30280907
1001,10.07323375,24.60313908,38.64763099,20.21423536,20.21423536,21.9792326,1,,5,,,3.133333333,Male,47,0.489043184,0.210223545,0.808425836,0.625,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,3.89,0.509324691,,3,3,20.97066275
1002,5.976713285,48.01063019,15.16562006,58.27469586,58.27469586,9.80542444,1,,,,,5.533333333,Male,,0.457136285,0.747308539,0.190508386,,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,,0.468908463,,2,1,37.50215097
1003,50.62621489,53.52693063,46.0523423,55.86273948,55.86273948,48.72043464,1,,,,,3.733333333,Male,,0.382872214,0.728185191,0.629351261,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,,0.678768226,,1,2,52.80175169
1004,3.693535801,22.86321903,13.71893388,25.72080813,25.72080813,7.870785002,1,,,,,4.733333333,Female,,0.925947,0.889316816,0.83725153,,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,,0.863284173,,3,3,18.07079822
1005,6.990487756,41.75854418,33.4038266,44.36939342,44.36939342,17.99604561,1,,4,,,4.733333333,Female,45,0.385930482,0.392962878,0.758849987,0.5,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.75,0.575906433,,2,1,33.06653007
1006,21.38841906,41.13123111,31.07756313,44.27300236,44.27300236,25.42556243,1,,3,,,3.6,Female,43,0.155929036,0.242028987,0.040747828,0.375,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.38,0.141388408,,2,1,36.1955281
1007,7.751066184,43.03453644,50.50051795,40.70141722,40.70141722,25.56333775,1,,,,,5.4,Female,,0.251371029,0.442423229,0.819924427,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,,0.631173828,,2,2,34.21366888
1008,9.507372255,50.56890015,26.01893388,58.24076461,58.24076461,16.3871896,1,,,,,3.066666667,Female,,0.073542213,0.499128959,0.211663291,,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,,0.355396125,,2,1,40.30351818
1009,4.323212747,30.97894834,48.97401882,25.35548882,25.35548882,22.92771528,1,,4,,,6.466666667,Female,51,0.81123877,0.877579812,0.857402522,0.5,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,,0.867491167,,3,3,24.31501445
1010,23.13859694,53.78545761,39.20192588,58.34281127,58.34281127,29.83165067,1,,,,White,3.466666667,Female,,0.501042467,0.439075746,0.419409209,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Non-Integrator,,,Imprecise Navigator,Non-Integrator,,0.429242478,,2,1,46.12374244
1011,22.65262378,47.47773994,45.33405599,48.14764118,48.14764118,32.10322053,1,,,,White,3.733333333,Female,,0.611558273,0.75875082,0.410349288,,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.875,0.584550054,,2,2,41.2714609
1012,4.111309708,13.00522154,5.548933028,15.3353117,15.3353117,4.710319425,1,,5,,White,5,Male,54,0.937405919,0.909559734,0.766051069,0.625,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,2.125,0.837805402,,3,3,10.78174358
1013,10.00614916,51.64793402,41.41309837,54.84632016,54.84632016,23.092378,1,,,,Black,4.533333333,Female,,0.401036164,0.363604357,0.778930833,,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,2.625,0.571267595,,2,1,41.23748781
1014,40.00924102,51.14486374,54.42247819,50.12060922,50.12060922,46.01475651,1,,,,Black,3.266666667,Female,,0.626289525,0.456219283,0.566624936,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.875,0.51142211,,1,2,48.36095806
1015,16.52723734,47.27702412,30.41320642,52.54696715,52.54696715,22.31305779,1,,,,White,4.666666667,Female,,0.20129867,0.453539205,0.296753858,,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.125,0.375146532,,2,1,39.58957742
1016,27.12003661,49.58645335,48.73605319,49.8522034,49.8522034,36.12671019,1,,4,,,4.266666667,Female,48,0.391995385,0.762787271,0.330044414,0.5,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4.375,0.546415843,,1,2,43.96984917
1017,9.250689167,47.34757399,28.67974628,53.18127016,53.18127016,17.34612963,1,,,,White,4.866666667,Male,,0.634209732,0.688326238,0.816713888,,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,2.875,0.752520063,,2,1,37.82335279
1018,14.48992563,47.30254839,19.41320642,56.01796776,56.01796776,16.54129263,1,,4,,White,6.133333333,Female,53,0.542088691,0.549654788,0.873070685,0.5,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,1.375,0.711362736,,2,1,39.0993927
1019,23.27310137,47.52343654,45.57391077,48.13266335,48.13266335,32.56510529,1,,3,,White,5.133333333,Female,45,0.335807492,0.828031445,0.468999646,0.375,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.5,0.648515546,,2,2,41.46085275
1020,27.27066301,57.6235457,54.0903629,58.72766532,58.72766532,38.44553796,1,,,,Black,5.866666667,Male,,0.401813151,0.607298707,0.407836581,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.375,0.507567644,,1,2,50.03532502
1021,2.448457336,25.5488554,15.98681859,28.5369919,28.5369919,8.089441192,1,,,,White,5.4,Female,,0.797232026,0.872107433,0.597597437,,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,3.125,0.734852435,,3,3,19.77375588
1022,21.40638062,41.35913952,40.78215008,41.53944872,41.53944872,29.4796179,1,,,,Black,4.2,Female,,0.584021448,0.474775591,0.944968048,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.375,0.70987182,,2,1,36.3709498
1023,5.95356941,19.4353439,23.16244102,18.27062605,18.27062605,13.12393258,1,,,,,4.866666667,Female,,0.556533065,0.544695963,0.880452771,,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,2.875,0.712574367,,3,3,16.06490028
1024,63.73707904,60.05455201,59.85335845,60.117425,60.117425,62.11886212,1,,,,,4.2,Female,,0.283410358,0.315806735,0.314138414,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.875,0.314972575,,1,2,60.97518377
1025,12.69220085,45.48356227,31.62576528,49.81412383,49.81412383,20.58118603,1,,6,,White,5.4,Female,48,0.620759812,0.927373205,0.235555577,0.75,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.125,0.581464391,,2,1,37.28572192
1026,12.35776526,58.02759308,35.82325342,64.96644922,64.96644922,22.135052,1,,6,,Black,5.2,Female,46,0.194100423,0.90038077,0.098159718,0.75,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4,0.499270244,,2,1,46.61013613
1027,43.12325309,50.62277056,37.14733374,54.83384457,54.83384457,40.63328669,1,,2,,White,1.533333333,Female,53,0.563004696,0.878079943,0.067040223,0.25,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,6.125,0.472560083,,1,1,48.74789119
1028,20.54554629,42.34885455,22.3526128,48.5976801,48.5976801,21.29849067,1,,,,,5.533333333,Male,,0.346972046,0.865736269,0.495439179,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.875,0.680587724,,2,1,36.89802749
1029,8.702225886,27.51731879,30.77974628,26.4978102,26.4978102,17.90119272,1,,5,,White,5.666666667,Male,49,0.844956638,0.88229622,0.927742994,0.625,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,3.125,0.905019607,,3,3,22.81354557
1030,54.69302351,49.27796236,58.8443439,46.28846813,46.28846813,56.42274034,1,,,,White,3.733333333,Female,,0.251198056,0.72583708,0.593903276,,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,4,0.659870178,,1,2,50.63172765
1031,19.01322222,44.5815586,34.08936702,47.86036847,47.86036847,25.29494922,1,,2,,Asian,2.466666667,Male,30,0.182477583,0.364100183,0.968746842,0.25,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.125,0.666423513,,2,1,38.18947451
1032,25.97466254,56.51163486,48.90814614,58.88772508,58.88772508,35.53028071,1,,,,Black,4.466666667,Female,,0.132261091,0.75091528,0.923157393,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,2.5,0.837036337,,1,2,48.87739178
1033,20.27471516,49.52804133,41.01309837,52.18896101,52.18896101,28.91570817,1,,,,White,4.266666667,Female,,0.599725743,0.942374413,0.201634786,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.25,0.5720046,,2,1,42.21470979
1034,19.94550048,25.54271162,45.14685576,19.41641658,19.41641658,30.44606518,1,,,,Asian,3.4,Female,,0.86077427,0.909433899,0.779103127,,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,5.5,0.844268513,,3,3,24.14340884
1035,7.771614496,23.88057004,25.32389074,23.42953232,23.42953232,15.08506293,1,,,,Hispanic,5.066666667,Female,,0.934090262,0.92006253,0.84567436,,,2,,1,,Integrator,,,Integrator,Integrator,0,,Integrator,,,Integrator,Integrator,2.5,0.882868445,,3,3,19.85333115
1036,24.8035854,42.84980646,24.47324359,48.59248235,48.59248235,24.66594298,1,,,,White,4.133333333,Female,,0.31788004,0.608429415,0.387861865,,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.5,0.49814564,,2,1,38.33825119
1037,6.80701344,44.68517617,10.67025813,55.31483806,55.31483806,8.416698727,1,,,,Wh/Hisp,5.266666667,Male,,0.439681971,0.91348728,0.762399182,,,1,2,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,2.5,0.837943231,,2,3,35.21563549
1038,7.15795418,53.6650514,59.79113813,51.7506493,51.7506493,29.08844749,1,,,,White,4.333333333,Male,,0.706467382,0.381987662,0.75302432,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,4.25,0.567505991,,2,2,42.0382771
1039,13.58797772,42.53482165,34.17324359,45.14781479,45.14781479,22.16517183,1,,3,,White,3.466666667,Female,44,0.786142387,0.511931771,0.944992575,0.375,,1,1,1,,Non-Integrator,,,Non-Integrator,Non-Integrator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,2.375,0.728462173,,2,1,35.29811066
1040,39.62325309,40.12868963,35.0903629,41.70316673,41.70316673,37.73454885,1,,4,,,4.066666667,Female,41,0.410248743,0.869169993,0.379922303,0.5,,1,1,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,3.625,0.624546148,,1,1,40.0023305
1041,19.39153224,62.11087912,39.86244102,69.06351603,69.06351603,27.92107757,1,,,,Black,4.4,Female,,0.651624534,0.410061062,0.174621863,,,1,2,1,,Imprecise Navigator,,,Imprecise Navigator,Imprecise Navigator,0,,Non-Integrator,,,Non-Integrator,Non-Integrator,3.5,0.292341463,,2,1,51.4310424
