"participant","Overall_r","Overall_rsquared","Overall_angle","Overall_x_scale","Overall_y_scale","Overall_distortion_index","Batty_r","Batty_rsquared","Batty_angle","Batty_x_scale","Batty_y_scale","Batty_distortion_index","Golledge_r","Golledge_rsquared","Golledge_angle","Golledge_x_scale","Golledge_y_scale","Golledge_distortion_index"
"Rep ABCD PILOT_2",0.71966236143903,0.517913914472001,-22.6307382989032,0.699522256630556,0.699522256630556,0.482086085528,0.984552656529349,0.969343933478997,-36.7070687086191,1.23460511434039,1.23460511434039,0.0306560665210023,0.938394038058305,0.880583370663372,-84.7894403177111,1.33712158795475,1.33712158795475,0.119416629336627
"Rep ABCD PILOT_4",0.970342431171714,0.941564433732233,-30.9727789647053,0.862897248888546,0.862897248888546,0.0584355662677666,0.962873280121444,0.927124953571828,-45.9310491660485,0.892850447636272,0.892850447636272,0.0728750464281713,0.941194160205662,0.885846447205242,-8.30700661797462,0.87530542670388,0.87530542670388,0.114153552794758
"Rep ABCD_10",0.84959180220292,0.721806230370405,-41.7841510664602,0.686975276408655,0.686975276408655,0.278193769629595,0.950595451152879,0.903631711752546,-29.8726180738844,0.918205965704302,0.918205965704302,0.0963682882474544,0.897987001111062,0.806380654164438,26.1082093967552,0.963884213340254,0.963884213340254,0.193619345835562
"Rep ABCD_5",0.601782720358024,0.362142442521504,-55.4240670410003,0.642110702739457,0.642110702739457,0.637857557478496,0.698098617950051,0.487341680383771,-30.5679767446032,1.06704032339276,1.06704032339276,0.512658319616229,0.560524218408499,0.314187399422458,-36.0470626514286,1.20334478082723,1.20334478082723,0.685812600577542
"Rep ABCD_6",0.362291841740903,0.131255378592015,36.7148976739348,0.293247562937561,0.293247562937561,0.868744621407984,0.870655003819219,0.758040135675444,-6.23146927588273,1.1289063502552,1.1289063502552,0.241959864324556,0.606897871692316,0.368325026664663,49.8020946989155,0.851037801411915,0.851037801411915,0.631674973335336
"Rep ABCD_7",0.524674994020407,0.275283849350314,12.2983410657428,0.503649577196054,0.503649577196054,0.724716150649686,0.875317292210834,0.766180362043307,73.919869182175,0.914316988401374,0.914316988401374,0.233819637956693,0.97930137993079,0.95903119273435,-56.9262027594139,1.08870542935924,1.08870542935924,0.0409688072656509
"Rep ABCD_8",0.965370461575361,0.931940128082226,-31.7718235113443,0.813515995990024,0.813515995990024,0.0680598719177733,0.958059427846744,0.917877867286031,-27.4043043715643,0.968081103205186,0.968081103205186,0.0821221327139685,0.946024572936399,0.894962492599497,-53.0054935833776,0.932437674078936,0.932437674078936,0.105037507400503
"Rep ABCD_9",0.688377167050144,0.473863124115982,-25.6117452920512,0.531725475247175,0.531725475247175,0.526136875884018,0.876323090431392,0.767942158823225,-62.1799977921055,0.657945378267837,0.657945378267837,0.232057841176775,0.952281515995768,0.906840085707198,4.19469977319518,0.866553120359482,0.866553120359482,0.0931599142928021
"Rep ABDC_11",0.995487294209332,0.990994952932218,3.21560086422416,0.975555811452989,0.975555811452989,0.00900504706778278,0.989909820345175,0.979921452415817,3.54399063057538,0.935640141264418,0.935640141264418,0.0200785475841829,0.986431547820223,0.973047198535002,-3.90084691697742,0.926985259351665,0.926985259351665,0.0269528014649977
"Rep ABDC_3",0.94400138527815,0.891138615407066,-31.2872790698427,0.859922078735969,0.859922078735969,0.108861384592933,0.972596525025795,0.945944000492252,-29.5528706500714,1.13412685382488,1.13412685382488,0.0540559995077472,0.919912128219217,0.846238323644809,-1.1482863394892,1.03445165471117,1.03445165471117,0.153761676355191
