participant,bad_pointing_different,bad_pointing_same,Study,SBSOD,gender,WRAT,Model_Building,Model_Building_A,Model_Building_B,K_Means_Across_All,Model_Building_Average_Within,Education,New_or_Original,MRT
Original_Study1_4011,49.95231837,23.32079113,3,3.066666667,Female,47,0.477017654,0.311388396,0.234990372,1,0.273189384,2,Original,
Original_Study1_4012,54.61446656,42.26858531,3,3.8,Female,34,0.128687409,0.741376026,0.402589052,2,0.571982539,2,Original,
Original_Study1_4013,48.29246125,26.80662742,3,5.333333333,Male,42,0.171212532,0.758903312,0.949147386,1,0.854025349,2,Original,
Original_Study1_4014,42.81289609,25.81864172,3,2.8,Female,46,0.61664099,0.39775377,0.498109051,1,0.447931411,2,Original,
Original_Study1_4015,58.07716305,24.24237507,3,4.866666667,Female,50,0.283570577,0.860828801,0.213999986,1,0.537414394,2,Original,
Original_Study1_4016,60.12152082,21.7921805,3,3.6,Female,47,0.277233119,0.78171156,0.893263478,1,0.837487519,2,Original,
Original_Study1_4017,33.5109653,16.58631408,3,3.733333333,Female,44,0.594252761,0.777181132,0.35877296,3,0.567977046,2,Original,
Original_Study1_4018,63.6280958,33.64623185,3,4.933333333,Male,41,0.298767581,0.33352873,0.738539714,2,0.536034222,2,Original,
Original_Study1_4019,54.27032402,23.14088375,3,5.133333333,Male,45,0.893738006,0.738663734,0.684921322,1,0.711792528,2,Original,
Original_Study1_4020,54.43193361,26.39582978,3,4.066666667,Female,39,0.219994773,0.208268669,0.96456541,1,0.58641704,2,Original,
Original_Study1_4021,57.82169259,44.43281213,3,4.933333333,Female,40,0.616333234,0.691907475,0.844429027,2,0.768168251,2,Original,
Original_Study1_4022,55.5831962,14.84730594,3,5.266666667,Female,47,0.57818432,0.791221336,0.251504279,1,0.521362808,2,Original,
Original_Study1_4023,38.719635,17.8778105,3,5.133333333,Female,47,0.452411804,0.713459763,0.974501316,3,0.84398054,2,Original,
Original_Study1_4024,54.80090376,21.28809855,3,5.2,Male,45,0.644174086,0.438469342,0.478411287,1,0.458440315,2,Original,
Original_Study1_4025,23.10815804,18.3172788,3,4.933333333,Female,41,0.930422098,0.49531071,0.975707053,3,0.735508882,2,Original,
Original_Study1_4026,24.60087034,5.195952808,3,5.866666667,Female,44,0.863072935,0.822052993,0.711576625,3,0.766814809,2,Original,
Original_Study1_4028,51.50974259,49.73517944,3,3.466666667,Female,44,0.349243088,0.882615676,0.927923708,2,0.905269692,2,Original,
Original_Study1_4029,59.72618051,15.5265479,3,4.266666667,Male,52,0.337598193,0.840382949,0.825668677,1,0.833025813,2,Original,
Original_Study1_4030,23.22251794,4.22622063,3,5.133333333,Male,47,0.84630157,0.379287366,0.108786572,3,0.244036969,2,Original,
Original_Study1_4031,29.73147883,21.88658963,3,5.466666667,Male,51,0.265402183,0.268877509,0.795579911,3,0.53222871,2,Original,
Original_Study1_4032,38.69515513,20.93334542,3,3.4,Female,49,0.802739024,0.956976645,0.932161673,3,0.944569159,2,Original,
Original_Study1_4033,54.38043319,16.69225403,3,4.666666667,Female,40,0.06100707,0.358231197,0.670918487,1,0.514574842,2,Original,
Original_Study1_4034,61.10404378,20.71455459,3,3.266666667,Female,53,0.487217593,0.532737028,0.933668403,1,0.733202716,2,Original,
Original_Study1_4035,35.67849397,11.52402,3,5.666666667,Male,47,0.646695898,0.206847333,0.914321817,3,0.560584575,2,Original,
Original_Study1_4036,63.52497643,35.73529418,3,2,Female,51,0.101210762,0.10425279,0.419034407,2,0.261643599,2,Original,
Original_Study1_4037,57.3770059,28.88476113,3,4.733333333,Female,47,0.750836806,0.73146394,0.63064482,1,0.68105438,2,Original,
Original_Study1_4038,36.53730683,17.09612963,3,4.466666667,Female,42,0.121801557,0.403647095,0.152261565,3,0.27795433,2,Original,
Original_Study1_4039,37.32520618,24.12146858,3,5.933333333,Male,52,0.718596456,0.373234588,0.777047804,3,0.575141196,2,Original,
Original_Study1_4040,52.27357978,27.10952324,3,5.533333333,Male,50,0.029269094,0.481229788,0.872077517,1,0.676653653,2,Original,
Original_Study1_4041,40.80331696,16.41085112,3,5.066666667,Male,49,0.592667437,0.914487529,0.906451241,1,0.910469385,2,Original,
Original_Study1_4042,32.44396679,8.807657825,3,4.666666667,Male,51,0.795595613,0.71793653,0.991307008,3,0.854621769,2,Original,
Original_Study1_4043,40.74354454,17.20889407,3,4.333333333,Male,49,0.502227202,0.590609181,0.876817144,1,0.733713163,2,Original,
Original_Study1_4044,52.29802912,37.94761171,3,2.866666667,Female,49,0.364333563,0.93063595,0.794501427,2,0.862568689,2,Original,
Original_Study1_4045,46.31463463,7.080554874,3,3.533333333,Female,48,0.428384997,0.37290157,0.929344286,1,0.651122928,2,Original,
Original_Study1_4046,57.98179517,18.91797387,3,4.466666667,Female,48,0.259615445,0.652493779,0.112041208,1,0.382267494,2,Original,
Original_Study1_4047,62.65782853,77.27209089,3,4.933333333,Female,50,0.340613846,0.873142295,0.884600017,2,0.878871156,2,Original,
Original_Study1_4050,41.34221786,25.76757229,3,4.2,Male,45,0.48590985,0.666998751,0.005488601,1,0.336243676,2,Original,
Original_Study1_al_1,45.32,29.2,0,4.933333333,Male, ,0.321670075,0.727779442,0.641715591,1,0.684747517,2,Original,
Original_Study1_al_2,53.51,46.71,0,4.533333333,Female, ,0.213397196,0.020522802,0.441295387,2,0.230909095,2,Original,
Original_Study1_al_3,75.07,12.95,0,4.266666667,Female, ,0.406674845,0.599065234,0.927170725,1,0.76311798,2,Original,
Original_Study1_al_4,20.97,11.83,0,4.2,Female, ,0.937156135,0.969228071,0.911657891,3,0.940442981,2,Original,
Original_Study1_al_5,41.45,10.65,0,5.533333333,Female, ,0.746601408,0.962052447,0.348784386,3,0.655418417,2,Original,
Original_Study1_al_6,51.65,22.98,0,4.533333333,Male, ,0.516240633,0.636700056,0.735622105,1,0.686161081,2,Original,
Original_Study1_al_7,50.31,27.26,0,4.4,Male, ,0.038862397,0.137848543,0.241486034,1,0.189667289,2,Original,
Original_Study1_al_8,47.37,36.52,0,4.066666667,Male, ,0.557709434,0.057886905,0.801499465,2,0.429693185,2,Original,
Original_Study1_al_9,54.32,44.19,0,4.4,Female, ,0.663707235,0.40554953,0.379276163,2,0.392412847,2,Original,
Original_Study1_l_10,48.61,28.81,0,4,Female, ,0.234618761,0.020875103,0.434673296,1,0.2277742,2,Original,
Original_Study1_l_11,69.09,22.7,0,3.733333333,Male, ,0.109291416,0.73847396,0.819668746,1,0.779071353,2,Original,
Original_Study1_l_12,53.65,30.84,0,4.866666667,Male, ,0.407017352,0.438226861,0.785801688,2,0.612014275,2,Original,
Original_Study1_l_13,58.86,12.05,0,4.4,Male, ,0.678417116,0.607372889,0.861834965,1,0.734603927,2,Original,
Original_Study1_l_14,41.98,23.26,0,3.333333333,Female, ,0.606839221,0.546707776,0.782175333,1,0.664441555,2,Original,
Original_Study1_l_15,59.82495045,36.07234222,0,5.33,Male, ,0.22807557,0.385414815,0.121713722,2,0.253564269,2,Original,
Original_Study1_l_16,45.87041305,19.90341242,0,5.6,Male, ,0.019313264,0.855253798,0.910386644,1,0.882820221,2,Original,
Original_Study1_l_17,57.37217873,29.73168626,0,4.6,Female, ,0.452501805,0.440518282,0.862975704,2,0.651746993,2,Original,
Original_Study1_l_18,31.60004851,11.37696912,0,4,Male, ,0.816772253,0.960818215,0.721342924,3,0.84108057,2,Original,
Original_Study1_l_19,38.09080448,12.88325147,0,3.87,Female, ,0.071295566,0.777047097,0.95927816,3,0.868162629,2,Original,
Original_Study1_l_20,25.42331669,14.46950942,0,5.67,Female, ,0.63692267,0.946901636,0.819375473,3,0.883138555,2,Original,
Original_Study1_l_21,46.75035584,30.08022868,0,5.47,Female, ,0.303786673,0.11886802,0.291910538,1,0.205389279,2,Original,
Original_Study1_l_22,62.10463431,33.52653834,0,5,Female, ,0.366149704,0.13991731,0.787160658,2,0.463538984,2,Original,
Original_Study1_l_23,56.7246106,36.51226761,0,5.13,Female, ,0.382420558,0.804706921,0.257228599,2,0.53096776,2,Original,
Original_Study1_l_24,48.12472896,22.8853842,0,3.8,Female, ,0.303585338,0.633169139,0.861797694,1,0.747483417,2,Original,
Original_Study1_l_25,41.01609106,46.23238215,0,3.47,Female, ,0.291256557,0.829137637,0.030994295,2,0.430065966,2,Original,
Original_Study1_l_26,62.06997032,35.10279501,0,4,Female, ,0.24393164,0.800837862,0.259186741,2,0.530012302,2,Original,
Original_Study1_l_27,52.16584965,22.22413795,0,4.93,Female, ,0.495011965,0.362083353,0.77288803,1,0.567485692,2,Original,
Original_Study1_l_28,17.23311537,6.791957465,0,5.47,Female, ,0.90664985,0.928753925,0.757164473,3,0.842959199,2,Original,
Original_Study1_l_29,24.84958242,7.891004335,0,5.33,Male, ,0.758129049,0.965957596,0.657650946,3,0.811804271,2,Original,
Original_Study1_l_30,37.96482493,46.53131192,0,4.07,Female, ,0.424745639,0.554639233,0.070736479,2,0.312687856,2,Original,
Original_Study1_l_31,27.71418607,7.065229395,0,5,Female, ,0.952920211,0.912370148,0.89119187,3,0.901781009,2,Original,
Original_Study1_l_32,48.44764337,24.04104519,0,3.6,Female, ,0.547137311,0.238824341,0.90616029,1,0.572492316,2,Original,
Original_Study1_l_33,55.02730886,32.47361855,0,3.67,Female, ,0.504879458,0.669004801,0.724727099,2,0.69686595,2,Original,
Original_Study1_l_34,56.84653271,36.16901368,0,5.266666667,Male, ,0.546686435,0.49640373,0.71308145,2,0.60474259,2,Original,
Original_Study1_l_35,67.65566039,43.07018787,0,3.733333333,Female, ,0.349289745,0.674904141,0.179608051,2,0.427256096,2,Original,
Original_Study1_l_36,54.27615799,21.75919989,0,2.6,Male, ,0.104485948,0.852208364,0.005381562,1,0.428794963,2,Original,
Original_Study1_l_37,57.92121142,18.17652891,0,4.133333333,Female, ,0.34481626,0.727353879,0.654130114,1,0.690741997,2,Original,
Original_Study1_l_38,64.30408455,44.64576194,0,2.4,Female, ,0.073991029,0.059134134,0.242886644,2,0.151010389,2,Original,
Original_Study1_l_39,19.56364892,7.617915413,0,4,Male, ,0.895525771,0.755010046,0.903090192,3,0.829050119,2,Original,
Original_Study1_l_40,49.3861473,19.08686487,0,4.266666667,Male, ,0.848842747,0.577652759,0.843484467,1,0.710568613,2,Original,
Original_Study1_l_41,50.02363334,18.8617695,0,4.6,Male, ,0.747900387,0.766725682,0.792480372,1,0.779603027,2,Original,
Original_Study1_l_42,56.23082829,24.80624806,0,4.066666667,Female, ,0.143424585,0.506271612,0.842473953,1,0.674372783,2,Original,
Original_Study1_l_43,56.80755238,6.839923725,0,3.866666667,Male, ,0.703296904,0.954981347,0.942209986,1,0.948595667,2,Original,
Original_Study1_l_44,23.85172221,9.563704462,0,5.466666667,Male, ,0.917262538,0.748992045,0.910665691,3,0.829828868,2,Original,
Original_Study1_l_45,33.81993246,18.94990221,0,5.2,Male, ,0.60349045,0.675357316,0.933771874,3,0.804564595,2,Original,
Original_Study1_l_46,45.13465385,22.38192937,0,4.6,Male, ,0.6820771,0.367945998,0.858423791,1,0.613184895,2,Original,
Original_Study1_l_47,51.35253146,33.52155284,0,3.067,Male, ,0.267793822,0.098063384,0.845107871,2,0.471585628,2,Original,
Original_Study1_l_48,12.70046804,6.329310353,0,5.666666667,Male, ,0.889267468,0.952044607,0.806169996,3,0.879107302,2,Original,
Original_Study1_l_49,26.80374422,11.63489553,0,6.46667,Male, ,0.459695293,0.294700616,0.587162407,3,0.440931512,2,Original,
