participant,Participant_UUID_Silcton,Participant_UUID_Silcton_Truncated,pilot,data_share,date,MRT,SBSOD
17,8b2d476b-d74a-42a5-aa6e-d4fa07b02a9b,8b2d476b-d74,no,TRUE,2020-07-23 16:17:58 UTC,20,5.533333333
18,40bf0f47-1487-42f1-ba59-bb0d4ca746a1,40bf0f47-148,yes,TRUE,2020-07-23 17:16:30 UTC,0,3.933333333
19,5706889c-9c0a-4aab-9cff-d0a30371854b,5706889c-9c0,yes,TRUE,2020-07-27 13:56:24 UTC,2,3.8
20,a4181d7c-b05f-4c14-9895-89d6c81a8e81,a4181d7c-b05,no,TRUE,2020-07-28 16:04:03 UTC,26,5
21,d6a6db2b-aeb3-44b6-b04a-4710eaa8ba36,d6a6db2b-aeb,no,TRUE,2020-07-30 14:07:28 UTC,36,4.533333333
22,87e406b4-6551-42e2-9588-bb657a5535af,87e406b4-655,no,TRUE,2020-08-04 14:18:01 UTC,,
23,575696c7-9132-43cf-9bf1-3ef385a7445f,575696c7-913,no,TRUE,2020-08-04 14:25:06 UTC,26,5.4
24,44ca8b1b-e286-4e9a-9495-0ace509a8d30,44ca8b1b-e28,no,TRUE,2020-08-04 16:12:38 UTC,-12,2.266666667
25,a4fe06ac-16ba-4514-a860-3a6de6054d1e,a4fe06ac-16b,no,TRUE,2020-08-05 16:18:35 UTC,78,4.933333333
26,833aa246-fffc-4f3d-bce6-323afd86f5f5,833aa246-fff,no,TRUE,2020-08-05 18:39:39 UTC,30,4.266666667
27,5b5beb6f-6901-4c62-be49-825512534ee4,5b5beb6f-690,no,TRUE,2020-08-06 14:05:26 UTC,-6,3.733333333
28,2d1b13ee-66f3-429b-b0d1-2ce796310753,2d1b13ee-66f,no,TRUE,2020-08-06 16:05:23 UTC,44,2.333333333
29,d963d58b-97ea-4ba7-a4b7-a1c43a785328,d963d58b-97e,no,TRUE,2020-08-10 16:16:06 UTC,14,3.8
30,5a2881e4-505d-417a-8596-1572e0713cf7,5a2881e4-505,no,TRUE,2020-09-10 18:53:26 UTC,-12,4.2
31,d46d4806-a974-4bb4-a388-9274750b4d07,d46d4806-a97,no,TRUE,2020-09-15 12:17:37 UTC,30,4
32,ae8441a4-e82c-49c3-9140-685b1818a758,ae8441a4-e82,no,TRUE,2020-09-16 13:11:03 UTC,50,2.666666667
33,a1168d22-aa41-463a-98a3-ded2b8d10e2a,a1168d22-aa4,no,TRUE,2020-09-16 17:10:50 UTC,20,4.333333333
34,e5a06387-25d0-4aa7-b8a1-cf4234791f33,e5a06387-25d,no,TRUE,2020-09-17 14:07:48 UTC,32,4.333333333
35,0b4711b3-9099-43bf-b2ce-1f544330b56d,0b4711b3-909,no,TRUE,2020-09-17 16:03:54 UTC,48,3.6
36,d1c7c3b3-2c87-462b-b504-cda5db9c0ce0,d1c7c3b3-2c8,no,TRUE,2020-09-17 18:07:25 UTC,32,4.733333333
37,3fa0ed80-aff6-4841-8d0d-ae000bae4eb7,3fa0ed80-aff,no,TRUE,2020-09-18 13:25:53 UTC,38,4.733333333
38,6a16bc8d-0948-46e2-b832-7d5e8b04a9dd,6a16bc8d-094,no,TRUE,2020-09-18 15:21:06 UTC,2,4.666666667
39,fdc34ac3-fe86-409b-87a2-c5f627fc0188,fdc34ac3-fe8,no,TRUE,2020-09-18 16:19:07 UTC,0,4.2
40,6db1e537-66a3-437f-8ae8-752286cc5806,6db1e537-66a,no,TRUE,2020-09-18 18:07:14 UTC,28,4.133333333
41,30d13979-dada-410d-86c9-fb704e7a04a8,30d13979-dad,no,TRUE,2020-09-24 14:10:00 UTC,40,3.6
42,61c26a40-5e33-436f-849d-422df3018b98,61c26a40-5e3,no,TRUE,2020-09-24 15:12:53 UTC,,
43,cdf4f735-3aa0-47c9-9c98-b474b4ada4bd,cdf4f735-3aa,no,TRUE,2020-09-24 16:15:16 UTC,16,4
