Start_date,End_date,Progress,Duration_seconds,Finished,Recorded_date,Institution,PIN_TU_Only,gender,Age,Hispanic,Racial_Category,Racial_Category_Text,Education_Level,Education_Level_Text,Handedness,First_Language,Age_started_speaking_English,Participant_UUID_Qualtrics,Participant_UUID_Qualtrics_Truncated
11/9/2020 9:57,11/9/2020 10:00,100,168,TRUE,11/9/2020 10:00,UF,,Female,20,Not Hispanic/Latino,White,,High School,,Right,English,,46fb51be-0d6d-4fc0-8e61-5adff691f9be ,46fb51be-0d6
9/25/2020 11:05,9/25/2020 11:11,100,368,TRUE,9/25/2020 11:11,Temple,48,Female,21,Not Hispanic/Latino,More Than One Race,,High School,,Right,english,,4827511f-a2b3-4e9b-b92b-a363756d509c,4827511f-a2b
11/20/2020 8:03,11/20/2020 8:06,100,164,TRUE,11/20/2020 8:06,UF,,Female,18,Not Hispanic/Latino,Asian,,High School,,Right,English,,4ee477f8-ff25-4bdb-9959-d9571cadb6c7,4ee477f8-ff2
10/6/2020 11:02,10/6/2020 11:06,100,210,TRUE,10/6/2020 11:06,Temple,75,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,52bcd577-0855-4db6-bbb1-9849641eb9ae,52bcd577-085
12/2/2020 12:06,12/2/2020 12:09,100,157,TRUE,12/2/2020 12:09,UF,,Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,53473141-5199-42a0-a807-52dca98ceb25,53473141-519
10/1/2020 9:02,10/1/2020 9:06,100,182,TRUE,10/1/2020 9:06,Temple,62,Female,20,Not Hispanic/Latino,White,,High School,,Right,English,,5466222e-a308-4132-9106-400e27dd63fc,5466222e-a30
8/4/2020 8:22,8/4/2020 8:24,100,94,TRUE,8/4/2020 8:24,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,575696c7-9132-43cf-9bf1-3ef385a7445f,575696c7-913
9/30/2020 8:13,9/30/2020 8:14,100,107,TRUE,9/30/2020 8:14,Temple,58,Female,18,Not Hispanic/Latino,White,,High School,,Left,English,,57e04bdc-ff99-459e-a476-9dc2e4e8ced5  ,57e04bdc-ff9
11/5/2020 11:23,11/5/2020 11:26,100,167,TRUE,11/5/2020 11:26,UF,,Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,5b4aadd5-412e-4b51-bd0b-7128dd0e5ec5,5b4aadd5-412
8/6/2020 7:59,8/6/2020 8:03,100,272,TRUE,8/6/2020 8:03,UF,,Female,19,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,5b5beb6f-6901-4c62-be49-825512534ee4,5b5beb6f-690
10/27/2020 11:00,10/27/2020 11:03,100,191,TRUE,10/27/2020 11:03,Temple,113,Female,19,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,6358ea6c-55b3-4925-a760-18ad5ac526eb,6358ea6c-55b
9/30/2020 11:10,9/30/2020 11:13,100,145,TRUE,9/30/2020 11:13,UF,,Male,18,Hispanic/Latino,White,,High School,,Right,English,,6367b514-db46-4e80-a142-9deb4311bf76,6367b514-db4
10/16/2020 10:03,10/16/2020 10:08,100,336,TRUE,10/16/2020 10:08,Temple,101,Male,18,Not Hispanic/Latino,Asian,,High School,,Right,Telugu,5,637ab224-9edf-48e8-a297-e8af174201d0,637ab224-9ed
9/25/2020 11:02,9/25/2020 11:06,100,200,TRUE,9/25/2020 11:06,UF,,Female,18,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,6396c8da-c288-485a-8062-09a6d471931d,6396c8da-c28
9/24/2020 10:18,9/24/2020 10:21,100,154,TRUE,9/24/2020 10:21,UF,,Female,18,Hispanic/Latino,Black/African American,,High School,,Right,English,,6437645d-9a32-48ee-8ef2-4437967ceeb5,6437645d-9a3
10/30/2020 9:33,10/30/2020 9:36,100,183,TRUE,10/30/2020 9:36,Temple,120,Female,20,Not Hispanic/Latino,White,,High School,,Right,English,,6549564b-a203-4b9c-b6ef-e1f8162169d3,6549564b-a20
10/15/2020 11:07,10/15/2020 11:10,100,185,TRUE,10/15/2020 11:10,UF,,Female,19,Not Hispanic/Latino,White,,High School,,Right,Russian,4,662a874f-162b-4d57-871d-252bb5cd03ce,662a874f-162
10/13/2020 7:59,10/13/2020 8:04,100,288,TRUE,10/13/2020 8:04,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,English,,6a7aed67-dc50-492a-b244-89543b97d52b,6a7aed67-dc5
9/18/2020 12:03,9/18/2020 12:06,100,138,TRUE,9/18/2020 12:06,UF,,Male,18,Not Hispanic/Latino,White,,High School,,Right,English,,6db1e537-66a3-437f-8ae8-752286cc5806,6db1e537-66a
10/23/2020 9:04,10/23/2020 9:06,100,156,TRUE,10/23/2020 9:06,Temple,111,Female,21,Not Hispanic/Latino,White,,High School,,Right,Russian,5-Apr,6f49cf77-8084-4d0f-a0a7-191c51ab300b,6f49cf77-808
