"participant","date","model number","building","x","y","error"
"0011","2020-07-16 14:10:53 UTC","0","Snow Church","96","94","629.8579204868349"
"0011","2020-07-16 14:10:53 UTC","0","Lynch Station","628","92","616.8306088384395"
"0011","2020-07-16 14:10:53 UTC","0","Harvey House","424","292","232.69937687926884"
"0011","2020-07-16 14:10:53 UTC","0","Batty House","635","15","660.0856005095097"
"0011","2020-07-16 14:10:53 UTC","0","Harris Hall","594","289","384.2004685057008"
"0011","2020-07-16 14:10:53 UTC","0","Sauer Center","28","217","633.524269464083"
"0011","2020-07-16 14:10:53 UTC","0","Tobler Museum","103","372","463.24939287601876"
"0012","2020-07-16 16:20:32 UTC","0","Batty House","35","290","19.697715603592208"
"0012","2020-07-16 16:20:32 UTC","0","Lynch Station","89","259","155.4155719353759"
"0012","2020-07-16 16:20:32 UTC","0","Harvey House","541","465","247.80839372386077"
"0012","2020-07-16 16:20:32 UTC","0","Sauer Center","560","346","347.1397413146469"
"0012","2020-07-16 16:20:32 UTC","0","Tobler Museum","290","394","339.40094283899685"
"0012","2020-07-16 16:20:32 UTC","0","Golledge Hall","325","187","260.64727123068064"
"0012","2020-07-16 16:20:32 UTC","0","Snow Church","591","230","127.47548783981962"
"0012","2020-07-16 16:20:32 UTC","0","Harris Hall","429","292","223.94642216387382"
"0013","2020-07-21 14:10:09 UTC","0","Batty House","9","275","18.24828759089466"
"0013","2020-07-21 14:10:09 UTC","0","Lynch Station","137","318","230.7834482799839"
"0013","2020-07-21 14:10:09 UTC","0","Harris Hall","404","394","252.87348615463821"
"0013","2020-07-21 14:10:09 UTC","0","Harvey House","715","374","435.387184009819"
"0013","2020-07-21 14:10:09 UTC","0","Sauer Center","560","36","72.01388754955533"
"0013","2020-07-21 14:10:09 UTC","0","Tobler Museum","225","19","287.1114766079545"
"0013","2020-07-21 14:10:09 UTC","0","Snow Church","429","181","288.00173610587836"
"0013","2020-07-21 14:10:09 UTC","0","Golledge Hall","222","190","356.6020190632689"
