"participant","date","total score","average score","q1 (should be reverse coded)","q2","q3 (should be reverse coded)","q4 (should be reverse coded)","q5 (should be reverse coded)","q6","q7 (should be reverse coded)","q8","q9 (should be reverse coded)","q10","q11","q12","q13","q14 (should be reverse coded)","q15"
"0056","2020-09-29 19:18:42 UTC","75","5.0","3","5","3","3","3","6","6","5","3","6","5","7","4","2","4"
"0057","2020-09-30 14:17:45 UTC","60","4.0","5","2","4","4","6","7","4","5","4","3","4","7","2","3","4"
"0058","2020-09-30 16:08:04 UTC","44","2.933333333333333","4","2","5","6","7","3","4","3","4","2","3","6","3","6","2"
"0059","2020-09-30 17:17:06 UTC","51","3.4","3","6","7","3","7","3","6","4","4","1","3","6","3","5","4"
"0060","2020-09-30 19:08:54 UTC","50","3.3333333333333335","7","2","1","3","3","1","4","3","4","1","3","2","5","7","6"
"0061","2020-09-30 19:12:56 UTC","70","4.666666666666667","1","2","1","1","2","6","3","6","3","4","4","1","4","3","1"
"0062","2020-10-01 13:09:33 UTC","77","5.133333333333334","1","3","2","2","7","5","7","6","4","7","7","7","5","3","7"
"0063","2020-10-01 15:08:18 UTC","46","3.066666666666667","3","2","5","6","7","6","7","5","7","6","1","7","1","7","4"
"0064","2020-10-01 16:11:40 UTC","32","2.1333333333333333","7","4","3","7","7","1","7","2","7","2","2","6","1","7","3"
"0065","2020-10-01 17:13:12 UTC","69","4.6","2","3","2","2","7","2","4","6","4","6","4","7","3","3","6"
"0066","2020-10-01 18:09:46 UTC","64","4.266666666666667","4","3","4","5","7","6","3","7","4","5","4","2","6","3","5"
"0067","2020-10-01 18:53:53 UTC","66","4.4","3","2","3","1","1","4","6","6","3","2","3","1","4","2","7"
"0068","2020-10-01 19:10:04 UTC","46","3.066666666666667","3","6","3","4","7","2","6","6","3","1","2","3","1","7","2"
"0069","2020-10-01 19:24:29 UTC","69","4.6","3","4","5","3","3","6","4","7","1","6","2","2","1","1","5"
"0070","2020-10-02 14:11:15 UTC","84","5.6","3","7","2","1","6","6","6","6","5","7","7","7","5","1","7"
"0071","2020-10-02 16:11:32 UTC","71","4.733333333333333","5","6","2","2","6","4","7","6","3","6","4","7","4","3","6"
"0072","2020-10-02 16:40:57 UTC","57","3.8","3","6","5","6","3","5","7","3","6","1","7","6","3","6","6"
"0073","2020-10-05 14:05:50 UTC","63","4.2","4","6","4","3","7","5","5","4","4","5","3","5","2","2","6"
"0074","2020-10-05 19:12:59 UTC","58","3.8666666666666667","2","1","6","2","5","3","7","7","4","2","4","7","4","5","5"
"0075","2020-10-06 17:09:09 UTC","65","4.333333333333333","3","4","3","4","4","4","3","5","4","4","4","6","3","4","4"
"0076","2020-10-07 14:02:01 UTC","71","4.733333333333333","2","3","3","3","7","5","4","5","3","3","4","7","7","3","6"
"0077","2020-10-07 18:04:15 UTC","47","3.1333333333333333","5","3","5","6","6","6","5","5","6","2","3","4","2","7","6"
"0078","2020-10-08 14:05:47 UTC","74","4.933333333333334","2","6","2","2","3","4","4","6","1","3","3","6","6","5","3"
"0079","2020-10-08 16:02:55 UTC","58","3.8666666666666667","2","7","4","6","7","2","7","3","6","4","6","7","2","1","4"
"0080","2020-10-08 16:55:23 UTC","69","4.6","5","6","4","4","3","3","5","5","4","5","5","7","5","4","6"
"0081","2020-10-08 18:04:31 UTC","43","2.8666666666666667","6","6","4","5","6","2","6","2","6","3","2","4","2","4","3"
"0082","2020-10-08 20:03:03 UTC","75","5.0","2","7","4","4","7","5","6","7","2","7","4","6","6","2","4"
"0083","2020-10-09 18:10:47 UTC","86","5.733333333333333","3","6","2","3","4","6","2","6","2","7","6","7","6","5","7"
"0084","2020-10-12 14:10:53 UTC","79","5.266666666666667","2","5","3","2","2","5","6","7","4","6","6","7","6","6","6"
"0085","2020-10-12 16:10:34 UTC","65","4.333333333333333","6","4","3","6","1","5","4","6","3","2","5","7","6","7","4"
"0086","2020-10-12 18:02:01 UTC","31","2.066666666666667","6","2","5","6","6","3","6","2","6","2","2","1","2","6","2"
"0087","2020-10-13 14:06:24 UTC","68","4.533333333333333","3","2","3","3","5","3","6","6","3","6","3","7","6","4","6"
"0088","2020-10-13 19:06:15 UTC","59","3.933333333333333","2","6","3","6","7","3","6","6","6","3","4","6","5","5","5"
"0089","2020-10-14 14:04:42 UTC","63","4.2","3","6","2","4","6","2","4","5","3","2","5","1","6","2","4"
"0090","2020-10-14 14:13:49 UTC","19","1.2666666666666666","7","1","7","7","7","1","7","1","7","1","1","5","1","7","1"
"0091","2020-10-14 16:13:09 UTC","58","3.8666666666666667","2","4","4","2","6","4","6","6","6","4","3","2","4","4","5"
"0092","2020-10-15 14:09:15 UTC","50","3.3333333333333335","5","2","5","5","5","2","2","6","2","1","2","4","2","5","4"
"0093","2020-10-15 14:13:09 UTC","68","4.533333333333333","3","5","3","2","7","5","4","5","5","6","3","6","4","3","5"
"0094","2020-10-15 16:01:38 UTC","53","3.533333333333333","2","4","5","6","2","3","4","5","3","4","2","3","1","5","2"
"0095","2020-10-15 16:13:45 UTC","42","2.8","3","2","5","5","7","2","6","3","6","4","2","6","1","6","4"
"0096","2020-10-15 17:12:51 UTC","54","3.6","4","3","4","4","5","2","6","6","4","3","4","2","4","3","4"
"0097","2020-10-15 18:10:33 UTC","62","4.133333333333334","3","6","4","4","3","2","4","5","5","5","4","5","3","5","4"
"0098","2020-10-15 19:38:35 UTC","43","2.8666666666666667","5","3","5","5","7","6","7","5","6","1","2","7","1","7","4"
"0099","2020-10-16 13:46:27 UTC","67","4.466666666666667","3","4","2","2","6","2","3","5","2","1","5","5","5","3","5"
"0100","2020-10-16 14:11:00 UTC","40","2.6666666666666665","5","3","6","6","7","3","6","5","6","4","5","4","1","7","2"
"0101","2020-10-16 16:13:35 UTC","41","2.7333333333333334","6","4","2","6","7","2","6","2","6","4","1","5","1","5","4"
"0102","2020-10-20 14:05:00 UTC","46","3.066666666666667","3","3","6","6","6","2","5","4","5","3","4","5","3","6","3"
"0103","2020-10-20 19:05:07 UTC","66","4.4","3","2","4","2","5","2","4","5","4","5","4","6","2","1","7"
"0104","2020-10-21 14:04:42 UTC","37","2.466666666666667","5","6","7","7","7","2","6","3","6","1","2","7","2","7","3"
"0105","2020-10-21 14:09:23 UTC","57","3.8","3","5","5","3","6","2","3","5","3","5","3","5","2","6","3"
"0106","2020-10-21 16:04:36 UTC","51","3.4","5","4","7","6","7","1","6","6","4","5","5","7","2","5","5"
"0107","2020-10-21 18:01:40 UTC","43","2.8666666666666667","6","5","5","6","7","2","6","4","5","3","3","5","3","6","3"
"0108","2020-10-22 14:05:27 UTC","53","3.533333333333333","4","5","4","4","6","3","6","2","6","4","4","5","3","4","5"
"0109","2020-10-22 14:06:05 UTC","87","5.8","1","7","6","1","1","3","4","7","3","6","6","6","7","2","7"
"0110","2020-10-22 16:35:31 UTC","83","5.533333333333333","2","3","4","1","1","1","1","7","1","7","6","2","6","1","6"
"0111","2020-10-23 14:05:54 UTC","57","3.8","3","6","3","2","6","4","5","3","6","2","3","6","2","6","6"
