participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route
1001,9/10/2013 6:33,0,Tobler Museum,Sauer Center,Harris Hall,155,173.2852643,18.28526433,different
1001,9/10/2013 6:33,0,Tobler Museum,Sauer Center,Batty House,140,171.0086651,31.00866514,different
1001,9/10/2013 6:33,0,Tobler Museum,Sauer Center,Golledge Hall,65,67.30353066,2.30353066,same
1001,9/10/2013 6:33,0,Tobler Museum,Sauer Center,Harvey House,142,147.248191,5.248190997,different
1002,10/7/2015 10:44,0,Batty House,Lynch Station,Harris Hall,1,37.5286373,36.5286373,same
1002,10/7/2015 10:44,0,Batty House,Lynch Station,Sauer Center,1,30.3316951,29.3316951,different
1002,10/7/2015 10:44,0,Batty House,Lynch Station,Golledge Hall,44,51.76768154,7.767681538,different
1002,10/7/2015 10:44,0,Batty House,Lynch Station,Snow Church,20,48.19947553,28.19947553,different
1002,10/7/2015 10:44,0,Batty House,Lynch Station,Harvey House,7,93.19423766,86.19423766,same
1002,10/7/2015 10:44,0,Batty House,Lynch Station,Tobler Museum,92,37.30802198,54.69197802,different
1002,10/7/2015 10:44,0,Batty House,Lynch Station,Lynch Station,23,47.32798389,24.32798389,same
1002,10/7/2015 10:44,0,Lynch Station,Harris Hall,Tobler Museum,169,17.95076442,151.0492356,different
1002,10/7/2015 10:44,0,Lynch Station,Harris Hall,Batty House,133,130.6542463,2.345753667,same
1002,10/7/2015 10:44,0,Lynch Station,Harris Hall,Golledge Hall,112,3.323863738,108.6761363,different
1002,10/7/2015 10:44,0,Lynch Station,Harris Hall,Harvey House,0,48.19593801,48.19593801,same
1002,10/7/2015 10:44,0,Lynch Station,Harris Hall,Harris Hall,0,7.021704671,7.021704671,same
1002,10/7/2015 10:44,0,Lynch Station,Harris Hall,Sauer Center,99,29.20903342,69.79096658,different
1002,10/7/2015 10:44,0,Lynch Station,Harris Hall,Snow Church,77,8.968174613,68.03182539,different
1002,10/7/2015 10:44,0,Harris Hall,Harvey House,Lynch Station,125,114.5627943,10.43720572,same
1002,10/7/2015 10:44,0,Harris Hall,Harvey House,Harvey House,37,2.146796904,34.8532031,same
1002,10/7/2015 10:44,0,Harris Hall,Harvey House,Tobler Museum,138,99.95984558,38.04015442,different
1002,10/7/2015 10:44,0,Harris Hall,Harvey House,Sauer Center,138,110.6574336,27.34256637,different
1002,10/7/2015 10:44,0,Harris Hall,Harvey House,Snow Church,53,84.7281122,31.7281122,different
1002,10/7/2015 10:44,0,Harris Hall,Harvey House,Batty House,91,83.35216568,7.647834315,same
1002,10/7/2015 10:44,0,Harris Hall,Harvey House,Golledge Hall,91,77.71082192,13.28917808,different
1002,10/7/2015 10:44,0,Harvey House,Harris Hall,Batty House,33,46.54689912,13.54689912,same
1002,10/7/2015 10:44,0,Harvey House,Harris Hall,Lynch Station,33,32.28246429,0.717535707,same
1002,10/7/2015 10:44,0,Harvey House,Harris Hall,Sauer Center,94,46.29205396,47.70794604,different
1002,10/7/2015 10:44,0,Harvey House,Harris Hall,Tobler Museum,57,42.14615863,14.85384137,different
1002,10/7/2015 10:44,0,Harvey House,Harris Hall,Golledge Hall,72,64.9530254,7.046974597,different
1002,10/7/2015 10:44,0,Harvey House,Harris Hall,Snow Church,103,66.19140238,36.80859762,different
1002,10/7/2015 10:44,0,Harvey House,Harris Hall,Harris Hall,20,4.196894849,15.80310515,same
1002,10/7/2015 10:44,0,Golledge Hall,Snow Church,Harris Hall,170,176.2022806,6.202280614,different
1002,10/7/2015 10:44,0,Golledge Hall,Snow Church,Tobler Museum,170,147.0284471,22.97155294,same
1002,10/7/2015 10:44,0,Golledge Hall,Snow Church,Lynch Station,34,173.9683139,139.9683139,different
1002,10/7/2015 10:44,0,Golledge Hall,Snow Church,Batty House,34,173.5694617,139.5694617,different
1002,10/7/2015 10:44,0,Golledge Hall,Snow Church,Harvey House,14,139.9309368,125.9309368,different
1002,10/7/2015 10:44,0,Golledge Hall,Snow Church,Snow Church,5,1.204134401,3.795865599,same
1002,10/7/2015 10:44,0,Golledge Hall,Snow Church,Sauer Center,5,76.21088344,71.21088344,same
1002,10/7/2015 10:44,0,Snow Church,Sauer Center,Sauer Center,88,0.279262352,87.72073765,same
1002,10/7/2015 10:44,0,Snow Church,Sauer Center,Harris Hall,88,88.09346154,0.093461545,different
1002,10/7/2015 10:44,0,Snow Church,Sauer Center,Batty House,132,90.64700942,41.35299058,different
1002,10/7/2015 10:44,0,Snow Church,Sauer Center,Tobler Museum,54,63.69277617,9.692776166,same
1002,10/7/2015 10:44,0,Snow Church,Sauer Center,Golledge Hall,124,125.8431145,1.84311455,same
1002,10/7/2015 10:44,0,Snow Church,Sauer Center,Harvey House,123,119.6929579,3.30704214,different
1002,10/7/2015 10:44,0,Snow Church,Sauer Center,Lynch Station,151,79.44851915,71.55148085,different
1002,10/7/2015 10:44,0,Sauer Center,Tobler Museum,Harvey House,80,23.09134403,56.90865597,different
1002,10/7/2015 10:44,0,Sauer Center,Tobler Museum,Harris Hall,171,4.240040564,166.7599594,different
1002,10/7/2015 10:44,0,Sauer Center,Tobler Museum,Lynch Station,121,17.76205492,103.2379451,different
1002,10/7/2015 10:44,0,Sauer Center,Tobler Museum,Snow Church,98,89.63525726,8.364742741,same
1002,10/7/2015 10:44,0,Sauer Center,Tobler Museum,Golledge Hall,49,51.85616181,2.856161813,same
1002,10/7/2015 10:44,0,Sauer Center,Tobler Museum,Tobler Museum,6,2.713388186,3.286611814,same
1002,10/7/2015 10:44,0,Sauer Center,Tobler Museum,Batty House,154,6.744508622,147.2554914,different
1002,10/7/2015 10:44,0,Tobler Museum,Sauer Center,Harvey House,176,147.248191,28.751809,different
1002,10/7/2015 10:44,0,Tobler Museum,Sauer Center,Sauer Center,53,20.69981416,32.30018584,same
1002,10/7/2015 10:44,0,Tobler Museum,Sauer Center,Harris Hall,162,173.2852643,11.28526433,different
1002,10/7/2015 10:44,0,Tobler Museum,Sauer Center,Batty House,146,171.0086651,25.00866514,different
1002,10/7/2015 10:44,0,Tobler Museum,Sauer Center,Lynch Station,175,156.2355625,18.76443745,different
1002,10/7/2015 10:44,0,Tobler Museum,Sauer Center,Golledge Hall,80,67.30353066,12.69646934,same
1002,10/7/2015 10:44,0,Tobler Museum,Sauer Center,Snow Church,53,38.78279809,14.21720191,same
1002,9/10/2013 7:26,0,Batty House,Lynch Station,Harris Hall,35,37.5286373,2.528637304,same
1002,9/10/2013 7:26,0,Batty House,Lynch Station,Sauer Center,23,30.3316951,7.331695097,different
1002,9/10/2013 7:26,0,Batty House,Lynch Station,Tobler Museum,48,37.30802198,10.69197802,different
1002,9/10/2013 7:26,0,Batty House,Lynch Station,Snow Church,14,48.19947553,34.19947553,different
1002,9/10/2013 7:26,0,Batty House,Lynch Station,Lynch Station,47,47.32798389,0.327983892,same
1002,9/10/2013 7:26,0,Batty House,Lynch Station,Golledge Hall,63,51.76768154,11.23231846,different
1002,9/10/2013 7:26,0,Batty House,Lynch Station,Harvey House,91,93.19423766,2.194237658,same
1002,9/10/2013 7:26,0,Lynch Station,Harris Hall,Harvey House,46,48.19593801,2.195938014,same
1002,9/10/2013 7:26,0,Lynch Station,Harris Hall,Batty House,131,130.6542463,0.345753667,same
1002,9/10/2013 7:26,0,Lynch Station,Harris Hall,Snow Church,9,8.968174613,0.031825387,different
1002,9/10/2013 7:26,0,Lynch Station,Harris Hall,Golledge Hall,20,3.323863738,16.67613626,different
1002,9/10/2013 7:26,0,Lynch Station,Harris Hall,Tobler Museum,27,17.95076442,9.049235579,different
1002,9/10/2013 7:26,0,Lynch Station,Harris Hall,Sauer Center,32,29.20903342,2.790966576,different
1002,9/10/2013 7:26,0,Lynch Station,Harris Hall,Harris Hall,4,7.021704671,3.021704671,same
1002,9/10/2013 7:26,0,Harris Hall,Harvey House,Tobler Museum,52,99.95984558,47.95984558,different
1002,9/10/2013 7:26,0,Harris Hall,Harvey House,Lynch Station,113,114.5627943,1.562794278,same
1002,9/10/2013 7:26,0,Harris Hall,Harvey House,Harvey House,6,2.146796904,3.853203096,same
1002,9/10/2013 7:26,0,Harris Hall,Harvey House,Sauer Center,107,110.6574336,3.657433634,different
1002,9/10/2013 7:26,0,Harris Hall,Harvey House,Golledge Hall,41,77.71082192,36.71082192,different
1002,9/10/2013 7:26,0,Harris Hall,Harvey House,Batty House,96,83.35216568,12.64783432,same
1002,9/10/2013 7:26,0,Harris Hall,Harvey House,Snow Church,57,84.7281122,27.7281122,different
1002,9/10/2013 7:26,0,Harvey House,Harris Hall,Sauer Center,69,46.29205396,22.70794604,different
1002,9/10/2013 7:26,0,Harvey House,Harris Hall,Lynch Station,43,32.28246429,10.71753571,same
1002,9/10/2013 7:26,0,Harvey House,Harris Hall,Golledge Hall,59,64.9530254,5.953025403,different
1002,9/10/2013 7:26,0,Harvey House,Harris Hall,Tobler Museum,42,42.14615863,0.146158627,different
1002,9/10/2013 7:26,0,Harvey House,Harris Hall,Harris Hall,24,4.196894849,19.80310515,same
1002,9/10/2013 7:26,0,Harvey House,Harris Hall,Batty House,125,46.54689912,78.45310088,same
1002,9/10/2013 7:26,0,Harvey House,Harris Hall,Snow Church,69,66.19140238,2.808597625,different
1002,9/10/2013 7:26,0,Golledge Hall,Snow Church,Sauer Center,74,76.21088344,2.210883445,same
1002,9/10/2013 7:26,0,Golledge Hall,Snow Church,Lynch Station,22,173.9683139,151.9683139,different
1002,9/10/2013 7:26,0,Golledge Hall,Snow Church,Tobler Museum,144,147.0284471,3.028447062,same
